lambda transmission
44026.600000000035 0.0
44028.30000000004 0.0
44030.00000000004 1.0
44031.70000000003 1.0
44033.40000000004 1.0
44035.100000000035 1.0
44036.80000000004 1.0
44038.50000000004 1.0
44040.20000000003 1.0
44041.90000000004 1.0
44043.600000000035 1.0
44045.30000000004 1.0
44047.00000000004 1.0
44048.70000000003 1.0
44050.40000000004 1.0
44052.100000000035 1.0
44053.80000000004 1.0
44055.50000000004 1.0
44057.20000000003 1.0
44058.90000000004 1.0
44060.600000000035 1.0
44062.30000000004 1.0
44064.00000000004 1.0
44065.70000000003 1.0
44067.40000000004 1.0
44069.100000000035 1.0
44070.80000000004 1.0
44072.50000000004 1.0
44074.20000000003 1.0
44075.90000000004 1.0
44077.600000000035 1.0
44079.30000000004 1.0
44081.00000000004 1.0
44082.70000000003 1.0
44084.40000000004 1.0
44086.100000000035 1.0
44087.80000000004 1.0
44089.50000000004 1.0
44091.20000000003 1.0
44092.90000000004 1.0
44094.600000000035 1.0
44096.30000000004 1.0
44098.00000000004 1.0
44099.70000000003 1.0
44101.40000000004 1.0
44103.100000000035 1.0
44104.80000000004 1.0
44106.50000000004 1.0
44108.20000000003 1.0
44109.90000000004 1.0
44111.600000000035 1.0
44113.30000000004 1.0
44115.00000000004 1.0
44116.70000000003 1.0
44118.40000000004 1.0
44120.100000000035 1.0
44121.80000000004 1.0
44123.50000000004 1.0
44125.20000000003 1.0
44126.90000000004 1.0
44128.600000000035 1.0
44130.30000000004 1.0
44132.00000000004 1.0
44133.70000000003 1.0
44135.40000000004 1.0
44137.100000000035 1.0
44138.80000000004 1.0
44140.50000000004 1.0
44142.20000000003 1.0
44143.90000000004 1.0
44145.600000000035 1.0
44147.30000000004 1.0
44149.00000000004 1.0
44150.70000000003 1.0
44152.40000000004 1.0
44154.100000000035 1.0
44155.80000000004 1.0
44157.50000000004 1.0
44159.20000000003 1.0
44160.90000000004 1.0
44162.600000000035 1.0
44164.30000000004 1.0
44166.00000000004 1.0
44167.70000000003 1.0
44169.40000000004 1.0
44171.100000000035 1.0
44172.80000000004 1.0
44174.50000000004 1.0
44176.20000000003 1.0
44177.90000000004 1.0
44179.600000000035 1.0
44181.30000000004 1.0
44183.00000000004 1.0
44184.70000000003 1.0
44186.40000000004 1.0
44188.100000000035 1.0
44189.80000000004 1.0
44191.50000000004 1.0
44193.20000000003 1.0
44194.90000000004 1.0
44196.600000000035 1.0
44198.30000000004 1.0
44200.00000000004 1.0
44201.70000000003 1.0
44203.40000000004 1.0
44205.100000000035 1.0
44206.80000000004 1.0
44208.50000000004 1.0
44210.20000000003 1.0
44211.90000000004 1.0
44213.600000000035 1.0
44215.30000000004 1.0
44217.00000000004 1.0
44218.70000000003 1.0
44220.40000000004 1.0
44222.100000000035 1.0
44223.80000000004 1.0
44225.50000000004 1.0
44227.20000000003 1.0
44228.90000000004 1.0
44230.600000000035 1.0
44232.30000000004 1.0
44234.00000000004 1.0
44235.70000000003 1.0
44237.40000000004 1.0
44239.100000000035 1.0
44240.80000000004 1.0
44242.50000000004 1.0
44244.20000000003 1.0
44245.90000000004 1.0
44247.600000000035 1.0
44249.30000000004 1.0
44251.00000000004 1.0
44252.70000000003 1.0
44254.40000000004 1.0
44256.100000000035 1.0
44257.80000000004 1.0
44259.50000000004 1.0
44261.20000000003 1.0
44262.90000000004 1.0
44264.600000000035 1.0
44266.30000000004 1.0
44268.00000000004 1.0
44269.70000000003 1.0
44271.40000000004 1.0
44273.100000000035 1.0
44274.80000000004 1.0
44276.50000000004 1.0
44278.20000000003 1.0
44279.90000000004 1.0
44281.600000000035 1.0
44283.30000000004 1.0
44285.00000000004 1.0
44286.70000000003 1.0
44288.40000000004 1.0
44290.100000000035 1.0
44291.80000000004 1.0
44293.50000000004 1.0
44295.20000000003 1.0
44296.90000000004 1.0
44298.600000000035 1.0
44300.30000000004 1.0
44302.00000000004 1.0
44303.70000000003 1.0
44305.40000000004 1.0
44307.100000000035 1.0
44308.80000000004 1.0
44310.50000000004 1.0
44312.20000000003 1.0
44313.90000000004 1.0
44315.600000000035 1.0
44317.30000000004 1.0
44319.00000000004 1.0
44320.70000000003 1.0
44322.40000000004 1.0
44324.100000000035 1.0
44325.80000000004 1.0
44327.50000000004 1.0
44329.20000000003 1.0
44330.90000000004 1.0
44332.600000000035 1.0
44334.30000000004 1.0
44336.00000000004 1.0
44337.70000000003 1.0
44339.40000000004 1.0
44341.100000000035 1.0
44342.80000000004 1.0
44344.50000000004 1.0
44346.20000000003 1.0
44347.90000000004 1.0
44349.600000000035 1.0
44351.30000000004 1.0
44353.00000000004 1.0
44354.70000000003 1.0
44356.40000000004 1.0
44358.100000000035 1.0
44359.80000000004 1.0
44361.50000000004 1.0
44363.20000000003 1.0
44364.90000000004 1.0
44366.600000000035 1.0
44368.30000000004 1.0
44370.00000000004 1.0
44371.70000000003 0.0
44373.40000000004 0.0
