lambda transmission
45322.57903386895 0.0
45324.3290755337 0.0
45326.07911719846 1.0
45327.82915886322 1.0
45329.57920052797 1.0
45331.32924219273 1.0
45333.079283857485 1.0
45334.829325522245 1.0
45336.579367187 1.0
45338.32940885176 1.0
45340.07945051651 1.0
45341.82949218127 1.0
45343.57953384603 1.0
45345.32957551078 1.0
45347.07961717554 1.0
45348.829658840295 1.0
45350.579700505055 1.0
45352.32974216981 1.0
45354.07978383457 1.0
45355.82982549932 1.0
45357.57986716408 1.0
45359.32990882884 1.0
45361.07995049359 1.0
45362.82999215835 1.0
45364.580033823106 1.0
45366.330075487866 1.0
45368.08011715262 1.0
45369.83015881738 1.0
45371.58020048213 1.0
45373.33024214689 1.0
45375.08028381165 1.0
45376.8303254764 1.0
45378.58036714116 1.0
45380.330408805916 1.0
45382.080450470676 1.0
45383.83049213543 1.0
45385.58053380019 1.0
45387.33057546495 1.0
45389.0806171297 1.0
45390.83065879446 1.0
45392.58070045921 1.0
45394.33074212397 1.0
45396.080783788726 1.0
45397.830825453486 1.0
45399.58086711824 1.0
45401.330908783 1.0
45403.08095044776 1.0
45404.83099211251 1.0
45406.58103377727 1.0
45408.33107544202 1.0
45410.08111710678 1.0
45411.831158771536 1.0
45413.581200436296 1.0
45415.33124210105 1.0
45417.08128376581 1.0
45418.83132543057 1.0
45420.58136709532 1.0
45422.33140876008 1.0
45424.081450424834 1.0
45425.831492089594 1.0
45427.581533754346 1.0
45429.331575419106 1.0
45431.08161708386 1.0
45432.83165874862 1.0
45434.58170041338 1.0
45436.33174207813 1.0
45438.08178374289 1.0
45439.831825407644 1.0
45441.581867072404 1.0
45443.33190873716 1.0
45445.08195040192 1.0
45446.83199206667 1.0
45448.58203373143 1.0
45450.33207539619 1.0
45452.08211706094 1.0
45453.8321587257 1.0
45455.582200390454 1.0
45457.332242055214 1.0
45459.08228371997 1.0
45460.83232538473 1.0
45462.58236704948 1.0
45464.33240871424 1.0
45466.082450379 1.0
45467.83249204375 1.0
45469.58253370851 1.0
45471.332575373264 1.0
45473.082617038024 1.0
45474.83265870278 1.0
45476.58270036754 1.0
45478.33274203229 1.0
45480.08278369705 1.0
45481.83282536181 1.0
45483.58286702656 1.0
45485.33290869132 1.0
45487.082950356074 1.0
45488.832992020834 1.0
45490.58303368559 1.0
45492.33307535035 1.0
45494.0831170151 1.0
45495.83315867986 1.0
45497.58320034462 1.0
45499.33324200937 1.0
45501.08328367413 1.0
45502.833325338885 1.0
45504.583367003645 1.0
45506.3334086684 1.0
45508.08345033316 1.0
45509.83349199791 1.0
45511.58353366267 1.0
45513.33357532743 1.0
45515.08361699218 1.0
45516.83365865694 1.0
45518.583700321695 1.0
45520.333741986455 1.0
45522.08378365121 1.0
45523.83382531597 1.0
45525.58386698073 1.0
45527.33390864548 1.0
45529.08395031024 1.0
45530.83399197499 1.0
45532.58403363975 1.0
45534.334075304505 1.0
45536.084116969265 1.0
45537.83415863402 1.0
45539.58420029878 1.0
45541.33424196354 1.0
45543.08428362829 1.0
45544.83432529305 1.0
45546.5843669578 1.0
45548.33440862256 1.0
45550.084450287315 1.0
45551.834491952075 1.0
45553.58453361683 1.0
45555.33457528159 1.0
45557.08461694635 1.0
45558.8346586111 1.0
45560.58470027586 1.0
45562.33474194061 1.0
45564.08478360537 1.0
45565.834825270125 1.0
45567.584866934885 1.0
45569.33490859964 1.0
45571.0849502644 1.0
45572.83499192916 1.0
45574.58503359391 1.0
45576.33507525867 1.0
45578.08511692342 1.0
45579.83515858818 1.0
45581.585200252935 1.0
45583.335241917695 1.0
45585.08528358245 1.0
45586.83532524721 1.0
45588.58536691197 1.0
45590.33540857672 1.0
45592.08545024148 1.0
45593.83549190623 1.0
45595.58553357099 1.0
45597.335575235746 1.0
45599.085616900506 1.0
45600.83565856526 1.0
45602.58570023002 1.0
45604.33574189478 1.0
45606.08578355953 1.0
45607.83582522429 1.0
45609.58586688904 1.0
45611.3359085538 1.0
45613.085950218556 1.0
45614.835991883316 1.0
45616.58603354807 1.0
45618.33607521283 1.0
45620.08611687759 1.0
45621.83615854234 1.0
45623.5862002071 1.0
45625.33624187185 1.0
45627.08628353661 1.0
45628.836325201366 1.0
45630.586366866126 1.0
45632.336408530886 1.0
45634.08645019564 1.0
45635.8364918604 1.0
45637.58653352515 1.0
45639.33657518991 1.0
45641.08661685466 1.0
45642.83665851942 1.0
45644.586700184176 1.0
45646.336741848936 1.0
45648.086783513696 1.0
45649.83682517845 1.0
45651.58686684321 1.0
45653.33690850796 1.0
45655.08695017272 1.0
45656.836991837474 1.0
45658.587033502234 1.0
45660.337075166986 1.0
45662.087116831746 1.0
45663.837158496506 1.0
45665.58720016126 1.0
45667.33724182602 1.0
45669.08728349077 1.0
45670.83732515553 1.0
45672.587366820284 1.0
45674.337408485044 1.0
45676.0874501498 1.0
45677.83749181456 0.0
45679.587533479316 0.0
