lambda transmission
46996.33044430189 0.0
46998.14511456386 0.0
46999.95978482582 1.0
47001.77445508778 1.0
47003.58912534975 1.0
47005.40379561171 1.0
47007.218465873666 1.0
47009.03313613563 1.0
47010.84780639759 1.0
47012.662476659556 1.0
47014.47714692152 1.0
47016.29181718348 1.0
47018.106487445446 1.0
47019.92115770741 1.0
47021.735827969365 1.0
47023.55049823133 1.0
47025.36516849329 1.0
47027.179838755255 1.0
47028.99450901722 1.0
47030.80917927918 1.0
47032.623849541145 1.0
47034.43851980311 1.0
47036.253190065065 1.0
47038.06786032703 1.0
47039.88253058899 1.0
47041.697200850955 1.0
47043.51187111292 1.0
47045.32654137488 1.0
47047.141211636845 1.0
47048.95588189881 1.0
47050.770552160764 1.0
47052.58522242273 1.0
47054.39989268469 1.0
47056.214562946654 1.0
47058.02923320862 1.0
47059.84390347058 1.0
47061.658573732544 1.0
47063.4732439945 1.0
47065.28791425646 1.0
47067.10258451843 1.0
47068.91725478039 1.0
47070.73192504235 1.0
47072.54659530432 1.0
47074.36126556628 1.0
47076.17593582824 1.0
47077.9906060902 1.0
47079.80527635216 1.0
47081.619946614126 1.0
47083.43461687609 1.0
47085.24928713805 1.0
47087.063957400016 1.0
47088.87862766198 1.0
47090.69329792394 1.0
47092.5079681859 1.0
47094.32263844786 1.0
47096.137308709825 1.0
47097.95197897179 1.0
47099.76664923375 1.0
47101.581319495715 1.0
47103.39598975768 1.0
47105.210660019635 1.0
47107.0253302816 1.0
47108.84000054356 1.0
47110.654670805525 1.0
47112.46934106749 1.0
47114.28401132945 1.0
47116.098681591415 1.0
47117.91335185338 1.0
47119.728022115334 1.0
47121.5426923773 1.0
47123.35736263926 1.0
47125.172032901224 1.0
47126.98670316319 1.0
47128.80137342515 1.0
47130.616043687114 1.0
47132.43071394908 1.0
47134.24538421103 1.0
47136.060054473 1.0
47137.87472473496 1.0
47139.68939499692 1.0
47141.50406525889 1.0
47143.31873552085 1.0
47145.13340578281 1.0
47146.94807604478 1.0
47148.76274630673 1.0
47150.577416568696 1.0
47152.39208683066 1.0
47154.20675709262 1.0
47156.021427354586 1.0
47157.83609761655 1.0
47159.65076787851 1.0
47161.46543814047 1.0
47163.28010840243 1.0
47165.094778664396 1.0
47166.90944892636 1.0
47168.72411918832 1.0
47170.538789450286 1.0
47172.35345971225 1.0
47174.16812997421 1.0
47175.98280023617 1.0
47177.79747049813 1.0
47179.612140760095 1.0
47181.42681102206 1.0
47183.24148128402 1.0
47185.056151545985 1.0
47186.87082180795 1.0
47188.68549206991 1.0
47190.50016233187 1.0
47192.31483259383 1.0
47194.129502855794 1.0
47195.94417311776 1.0
47197.75884337972 1.0
47199.573513641684 1.0
47201.38818390365 1.0
47203.202854165604 1.0
47205.01752442757 1.0
47206.83219468953 1.0
47208.64686495149 1.0
47210.46153521346 1.0
47212.27620547542 1.0
47214.09087573738 1.0
47215.90554599935 1.0
47217.7202162613 1.0
47219.534886523266 1.0
47221.34955678523 1.0
47223.16422704719 1.0
47224.978897309156 1.0
47226.79356757112 1.0
47228.60823783308 1.0
47230.422908095046 1.0
47232.237578357 1.0
47234.052248618966 1.0
47235.86691888093 1.0
47237.68158914289 1.0
47239.496259404856 1.0
47241.31092966682 1.0
47243.12559992878 1.0
47244.940270190746 1.0
47246.7549404527 1.0
47248.569610714665 1.0
47250.38428097663 1.0
47252.19895123859 1.0
47254.013621500555 1.0
47255.82829176252 1.0
47257.64296202448 1.0
47259.45763228644 1.0
47261.2723025484 1.0
47263.086972810364 1.0
47264.90164307233 1.0
47266.71631333429 1.0
47268.530983596254 1.0
47270.34565385822 1.0
47272.16032412018 1.0
47273.97499438214 1.0
47275.7896646441 1.0
47277.604334906064 1.0
47279.41900516803 1.0
47281.23367542999 1.0
47283.048345691954 1.0
47284.86301595392 1.0
47286.67768621588 1.0
47288.49235647784 1.0
47290.3070267398 1.0
47292.12169700176 1.0
47293.93636726373 1.0
47295.75103752569 1.0
47297.56570778765 1.0
47299.38037804962 1.0
47301.19504831158 1.0
47303.009718573536 1.0
47304.8243888355 1.0
47306.63905909746 1.0
47308.453729359426 1.0
47310.26839962139 1.0
47312.08306988335 1.0
47313.897740145316 1.0
47315.71241040727 1.0
47317.527080669235 1.0
47319.3417509312 1.0
47321.15642119316 1.0
47322.971091455125 1.0
47324.78576171709 1.0
47326.60043197905 1.0
47328.415102241015 1.0
47330.22977250297 1.0
47332.044442764935 1.0
47333.8591130269 1.0
47335.67378328886 1.0
47337.488453550824 1.0
47339.30312381279 1.0
47341.11779407475 1.0
47342.932464336714 1.0
47344.74713459867 1.0
47346.561804860634 1.0
47348.3764751226 1.0
47350.19114538456 1.0
47352.005815646524 1.0
47353.82048590849 1.0
47355.63515617045 1.0
47357.44982643241 1.0
47359.26449669437 1.0
47361.07916695633 1.0
47362.8938372183 1.0
47364.70850748026 0.0
47366.52317774222 0.0
