lambda transmission
11725.641076024109 0.0
11727.089043556341 0.0
11728.537011088574 1.0
11729.984978620807 1.0
11731.43294615304 1.0
11732.880913685274 1.0
11734.328881217507 1.0
11735.77684874974 1.0
11737.224816281972 1.0
11738.672783814207 1.0
11740.12075134644 1.0
11741.568718878672 1.0
11743.016686410905 1.0
11744.46465394314 1.0
11745.912621475372 1.0
11747.360589007605 1.0
11748.808556539838 1.0
11750.256524072072 1.0
11751.704491604305 1.0
11753.152459136538 1.0
11754.60042666877 1.0
11756.048394201005 1.0
11757.496361733238 1.0
11758.94432926547 1.0
11760.392296797703 1.0
11761.840264329936 1.0
11763.28823186217 1.0
11764.736199394403 1.0
11766.184166926636 1.0
11767.632134458869 1.0
11769.080101991103 1.0
11770.528069523336 1.0
11771.976037055569 1.0
11773.424004587801 1.0
11774.871972120036 1.0
11776.319939652269 1.0
11777.767907184501 1.0
11779.215874716734 1.0
11780.663842248969 1.0
11782.111809781201 1.0
11783.559777313434 1.0
11785.007744845667 1.0
11786.455712377901 1.0
11787.903679910134 1.0
11789.351647442367 1.0
11790.7996149746 1.0
11792.247582506832 1.0
11793.695550039067 1.0
11795.1435175713 1.0
11796.591485103532 1.0
11798.039452635765 1.0
11799.487420168 1.0
11800.935387700232 1.0
11802.383355232465 1.0
11803.831322764698 1.0
11805.279290296932 1.0
11806.727257829165 1.0
11808.175225361398 1.0
11809.62319289363 1.0
11811.071160425865 1.0
11812.519127958098 1.0
11813.96709549033 1.0
11815.415063022563 1.0
11816.863030554798 1.0
11818.31099808703 1.0
11819.758965619263 1.0
11821.206933151496 1.0
11822.654900683729 1.0
11824.102868215963 1.0
11825.550835748196 1.0
11826.998803280429 1.0
11828.446770812661 1.0
11829.894738344896 1.0
11831.342705877129 1.0
11832.790673409361 1.0
11834.238640941594 1.0
11835.686608473829 1.0
11837.134576006061 1.0
11838.582543538294 1.0
11840.030511070527 1.0
11841.478478602761 1.0
11842.926446134994 1.0
11844.374413667227 1.0
11845.82238119946 1.0
11847.270348731694 1.0
11848.718316263927 1.0
11850.16628379616 1.0
11851.614251328392 1.0
11853.062218860625 1.0
11854.51018639286 1.0
11855.958153925092 1.0
11857.406121457325 1.0
11858.854088989558 1.0
11860.302056521792 1.0
11861.750024054025 1.0
11863.197991586258 1.0
11864.64595911849 1.0
11866.093926650725 1.0
11867.541894182958 1.0
11868.98986171519 1.0
11870.437829247423 1.0
11871.885796779658 1.0
11873.33376431189 1.0
11874.781731844123 1.0
11876.229699376356 1.0
11877.67766690859 1.0
11879.125634440823 1.0
11880.573601973056 1.0
11882.021569505288 1.0
11883.469537037523 1.0
11884.917504569756 1.0
11886.365472101988 1.0
11887.813439634221 1.0
11889.261407166454 1.0
11890.709374698688 1.0
11892.157342230921 1.0
11893.605309763154 1.0
11895.053277295387 1.0
11896.501244827621 1.0
11897.949212359854 1.0
11899.397179892087 1.0
11900.84514742432 1.0
11902.293114956554 1.0
11903.741082488787 1.0
11905.18905002102 1.0
11906.637017553252 1.0
11908.084985085487 1.0
11909.53295261772 1.0
11910.980920149952 1.0
11912.428887682185 1.0
11913.876855214417 1.0
11915.324822746652 1.0
11916.772790278885 1.0
11918.220757811117 1.0
11919.66872534335 1.0
11921.116692875585 1.0
11922.564660407817 1.0
11924.01262794005 1.0
11925.460595472283 1.0
11926.908563004517 1.0
11928.35653053675 1.0
11929.804498068983 1.0
11931.252465601216 1.0
11932.70043313345 1.0
11934.148400665683 1.0
11935.596368197916 1.0
11937.044335730148 1.0
11938.492303262383 1.0
11939.940270794616 1.0
11941.388238326848 1.0
11942.836205859081 1.0
11944.284173391316 1.0
11945.732140923548 1.0
11947.180108455781 1.0
11948.628075988014 1.0
11950.076043520246 1.0
11951.524011052481 1.0
11952.971978584714 1.0
11954.419946116946 1.0
11955.86791364918 1.0
11957.315881181414 1.0
11958.763848713646 1.0
11960.21181624588 1.0
11961.659783778112 1.0
11963.107751310346 1.0
11964.55571884258 1.0
11966.003686374812 1.0
11967.451653907045 1.0
11968.89962143928 1.0
11970.347588971512 1.0
11971.795556503745 1.0
11973.243524035977 1.0
11974.69149156821 1.0
11976.139459100445 1.0
11977.587426632677 1.0
11979.03539416491 1.0
11980.483361697143 1.0
11981.931329229377 1.0
11983.37929676161 1.0
11984.827264293843 1.0
11986.275231826075 1.0
11987.72319935831 1.0
11989.171166890543 1.0
11990.619134422775 1.0
11992.067101955008 1.0
11993.515069487243 1.0
11994.963037019475 1.0
11996.411004551708 1.0
11997.85897208394 1.0
11999.306939616175 1.0
12000.754907148408 1.0
12002.20287468064 1.0
12003.650842212874 1.0
12005.098809745108 1.0
12006.54677727734 1.0
12007.994744809574 1.0
12009.442712341806 1.0
12010.890679874039 1.0
12012.338647406274 1.0
12013.786614938506 1.0
12015.234582470739 1.0
12016.682550002972 1.0
12018.130517535206 1.0
12019.578485067439 0.0
12021.026452599672 0.0
