lambda transmission
22307.585905630902 0.0
22310.340608755825 0.0
22313.09531188075 1.0
22315.85001500567 1.0
22318.604718130595 1.0
22321.359421255518 1.0
22324.11412438044 1.0
22326.868827505365 1.0
22329.623530630288 1.0
22332.378233755215 1.0
22335.132936880138 1.0
22337.88764000506 1.0
22340.642343129985 1.0
22343.397046254908 1.0
22346.15174937983 1.0
22348.906452504754 1.0
22351.661155629678 1.0
22354.4158587546 1.0
22357.170561879524 1.0
22359.925265004447 1.0
22362.67996812937 1.0
22365.434671254297 1.0
22368.18937437922 1.0
22370.944077504144 1.0
22373.698780629067 1.0
22376.45348375399 1.0
22379.208186878914 1.0
22381.962890003837 1.0
22384.71759312876 1.0
22387.472296253683 1.0
22390.226999378607 1.0
22392.98170250353 1.0
22395.736405628453 1.0
22398.49110875338 1.0
22401.245811878303 1.0
22404.000515003227 1.0
22406.75521812815 1.0
22409.509921253073 1.0
22412.264624377996 1.0
22415.01932750292 1.0
22417.774030627843 1.0
22420.528733752766 1.0
22423.28343687769 1.0
22426.038140002613 1.0
22428.792843127536 1.0
22431.54754625246 1.0
22434.302249377386 1.0
22437.05695250231 1.0
22439.811655627233 1.0
22442.566358752156 1.0
22445.32106187708 1.0
22448.075765002002 1.0
22450.830468126926 1.0
22453.58517125185 1.0
22456.339874376772 1.0
22459.094577501695 1.0
22461.84928062662 1.0
22464.60398375154 1.0
22467.35868687647 1.0
22470.113390001392 1.0
22472.868093126315 1.0
22475.62279625124 1.0
22478.37749937616 1.0
22481.132202501085 1.0
22483.88690562601 1.0
22486.64160875093 1.0
22489.396311875855 1.0
22492.151015000778 1.0
22494.9057181257 1.0
22497.660421250624 1.0
22500.41512437555 1.0
22503.169827500475 1.0
22505.924530625398 1.0
22508.67923375032 1.0
22511.433936875244 1.0
22514.188640000168 1.0
22516.94334312509 1.0
22519.698046250014 1.0
22522.452749374937 1.0
22525.20745249986 1.0
22527.962155624784 1.0
22530.716858749707 1.0
22533.471561874634 1.0
22536.226264999557 1.0
22538.98096812448 1.0
22541.735671249404 1.0
22544.490374374327 1.0
22547.24507749925 1.0
22549.999780624174 1.0
22552.754483749097 1.0
22555.50918687402 1.0
22558.263889998943 1.0
22561.018593123867 1.0
22563.77329624879 1.0
22566.527999373713 1.0
22569.28270249864 1.0
22572.037405623563 1.0
22574.792108748486 1.0
22577.54681187341 1.0
22580.301514998333 1.0
22583.056218123256 1.0
22585.81092124818 1.0
22588.565624373103 1.0
22591.320327498026 1.0
22594.07503062295 1.0
22596.829733747873 1.0
22599.584436872796 1.0
22602.339139997723 1.0
22605.093843122646 1.0
22607.84854624757 1.0
22610.603249372492 1.0
22613.357952497416 1.0
22616.11265562234 1.0
22618.867358747262 1.0
22621.622061872185 1.0
22624.37676499711 1.0
22627.131468122032 1.0
22629.886171246955 1.0
22632.64087437188 1.0
22635.395577496805 1.0
22638.15028062173 1.0
22640.904983746652 1.0
22643.659686871575 1.0
22646.4143899965 1.0
22649.16909312142 1.0
22651.923796246345 1.0
22654.678499371268 1.0
22657.43320249619 1.0
22660.187905621115 1.0
22662.942608746038 1.0
22665.69731187096 1.0
22668.452014995884 1.0
22671.20671812081 1.0
22673.961421245735 1.0
22676.716124370658 1.0
22679.47082749558 1.0
22682.225530620504 1.0
22684.980233745428 1.0
22687.73493687035 1.0
22690.489639995274 1.0
22693.244343120197 1.0
22695.99904624512 1.0
22698.753749370044 1.0
22701.508452494967 1.0
22704.263155619894 1.0
22707.017858744817 1.0
22709.77256186974 1.0
22712.527264994664 1.0
22715.281968119587 1.0
22718.03667124451 1.0
22720.791374369433 1.0
22723.546077494357 1.0
22726.30078061928 1.0
22729.055483744203 1.0
22731.810186869126 1.0
22734.56488999405 1.0
22737.319593118977 1.0
22740.0742962439 1.0
22742.828999368823 1.0
22745.583702493746 1.0
22748.33840561867 1.0
22751.093108743593 1.0
22753.847811868516 1.0
22756.60251499344 1.0
22759.357218118363 1.0
22762.111921243286 1.0
22764.86662436821 1.0
22767.621327493132 1.0
22770.376030618056 1.0
22773.130733742983 1.0
22775.885436867906 1.0
22778.64013999283 1.0
22781.394843117752 1.0
22784.149546242676 1.0
22786.9042493676 1.0
22789.658952492522 1.0
22792.413655617445 1.0
22795.16835874237 1.0
22797.923061867292 1.0
22800.677764992215 1.0
22803.43246811714 1.0
22806.187171242065 1.0
22808.94187436699 1.0
22811.69657749191 1.0
22814.451280616835 1.0
22817.20598374176 1.0
22819.96068686668 1.0
22822.715389991605 1.0
22825.470093116528 1.0
22828.22479624145 1.0
22830.979499366375 1.0
22833.734202491298 1.0
22836.48890561622 1.0
22839.243608741148 1.0
22841.99831186607 1.0
22844.753014990994 1.0
22847.507718115918 1.0
22850.26242124084 1.0
22853.017124365764 1.0
22855.771827490687 1.0
22858.52653061561 1.0
22861.281233740534 1.0
22864.035936865457 1.0
22866.79063999038 0.0
22869.545343115304 0.0
