lambda transmission
47683.012172476156 0.0
47684.85335759363 0.0
47686.69454271111 1.0
47688.535727828596 1.0
47690.37691294607 1.0
47692.21809806355 1.0
47694.05928318103 1.0
47695.90046829851 1.0
47697.741653415986 1.0
47699.58283853347 1.0
47701.42402365094 1.0
47703.265208768426 1.0
47705.10639388591 1.0
47706.94757900338 1.0
47708.788764120865 1.0
47710.62994923834 1.0
47712.47113435582 1.0
47714.3123194733 1.0
47716.15350459078 1.0
47717.99468970826 1.0
47719.83587482574 1.0
47721.67705994322 1.0
47723.518245060695 1.0
47725.35943017818 1.0
47727.20061529565 1.0
47729.041800413135 1.0
47730.88298553061 1.0
47732.72417064809 1.0
47734.565355765575 1.0
47736.40654088305 1.0
47738.24772600053 1.0
47740.08891111801 1.0
47741.93009623549 1.0
47743.771281352965 1.0
47745.61246647045 1.0
47747.45365158793 1.0
47749.294836705405 1.0
47751.13602182289 1.0
47752.97720694036 1.0
47754.818392057845 1.0
47756.65957717532 1.0
47758.5007622928 1.0
47760.34194741028 1.0
47762.18313252776 1.0
47764.02431764524 1.0
47765.86550276272 1.0
47767.7066878802 1.0
47769.547872997675 1.0
47771.38905811516 1.0
47773.23024323263 1.0
47775.071428350115 1.0
47776.9126134676 1.0
47778.75379858507 1.0
47780.594983702555 1.0
47782.43616882003 1.0
47784.27735393751 1.0
47786.11853905499 1.0
47787.95972417247 1.0
47789.800909289945 1.0
47791.64209440743 1.0
47793.48327952491 1.0
47795.324464642385 1.0
47797.16564975987 1.0
47799.00683487734 1.0
47800.848019994824 1.0
47802.6892051123 1.0
47804.53039022978 1.0
47806.371575347264 1.0
47808.21276046474 1.0
47810.05394558222 1.0
47811.8951306997 1.0
47813.73631581718 1.0
47815.577500934654 1.0
47817.41868605214 1.0
47819.25987116961 1.0
47821.101056287094 1.0
47822.94224140458 1.0
47824.78342652205 1.0
47826.624611639534 1.0
47828.46579675701 1.0
47830.30698187449 1.0
47832.14816699197 1.0
47833.98935210945 1.0
47835.830537226924 1.0
47837.67172234441 1.0
47839.51290746189 1.0
47841.354092579364 1.0
47843.19527769685 1.0
47845.03646281432 1.0
47846.877647931804 1.0
47848.71883304928 1.0
47850.56001816676 1.0
47852.401203284244 1.0
47854.24238840172 1.0
47856.0835735192 1.0
47857.92475863668 1.0
47859.76594375416 1.0
47861.607128871634 1.0
47863.448313989116 1.0
47865.28949910659 1.0
47867.130684224074 1.0
47868.971869341556 1.0
47870.81305445903 1.0
47872.654239576514 1.0
47874.49542469399 1.0
47876.33660981147 1.0
47878.177794928946 1.0
47880.01898004643 1.0
47881.86016516391 1.0
47883.701350281386 1.0
47885.54253539887 1.0
47887.38372051634 1.0
47889.224905633826 1.0
47891.0660907513 1.0
47892.90727586878 1.0
47894.74846098626 1.0
47896.58964610374 1.0
47898.43083122122 1.0
47900.2720163387 1.0
47902.11320145618 1.0
47903.954386573656 1.0
47905.79557169114 1.0
47907.63675680861 1.0
47909.477941926096 1.0
47911.31912704358 1.0
47913.16031216105 1.0
47915.001497278536 1.0
47916.84268239601 1.0
47918.68386751349 1.0
47920.52505263097 1.0
47922.36623774845 1.0
47924.207422865926 1.0
47926.04860798341 1.0
47927.88979310089 1.0
47929.730978218366 1.0
47931.57216333585 1.0
47933.41334845332 1.0
47935.254533570806 1.0
47937.09571868828 1.0
47938.93690380576 1.0
47940.778088923245 1.0
47942.61927404072 1.0
47944.4604591582 1.0
47946.30164427568 1.0
47948.14282939316 1.0
47949.984014510635 1.0
47951.82519962812 1.0
47953.66638474559 1.0
47955.507569863075 1.0
47957.34875498056 1.0
47959.18994009803 1.0
47961.031125215515 1.0
47962.87231033299 1.0
47964.71349545047 1.0
47966.55468056795 1.0
47968.39586568543 1.0
47970.23705080291 1.0
47972.07823592039 1.0
47973.91942103787 1.0
47975.760606155345 1.0
47977.60179127283 1.0
47979.4429763903 1.0
47981.284161507785 1.0
47983.12534662526 1.0
47984.96653174274 1.0
47986.807716860225 1.0
47988.6489019777 1.0
47990.49008709518 1.0
47992.33127221266 1.0
47994.17245733014 1.0
47996.013642447615 1.0
47997.8548275651 1.0
47999.69601268257 1.0
48001.537197800055 1.0
48003.37838291754 1.0
48005.21956803501 1.0
48007.060753152495 1.0
48008.90193826997 1.0
48010.74312338745 1.0
48012.58430850493 1.0
48014.42549362241 1.0
48016.26667873989 1.0
48018.10786385737 1.0
48019.94904897485 1.0
48021.790234092325 1.0
48023.63141920981 1.0
48025.47260432728 1.0
48027.313789444765 1.0
48029.15497456224 1.0
48030.99615967972 1.0
48032.837344797204 1.0
48034.67852991468 1.0
48036.51971503216 1.0
48038.36090014964 1.0
48040.20208526712 1.0
48042.043270384595 1.0
48043.88445550208 1.0
48045.72564061956 1.0
48047.566825737034 1.0
48049.40801085452 1.0
48051.24919597199 1.0
48053.090381089474 1.0
48054.93156620695 1.0
48056.77275132443 0.0
48058.61393644191 0.0
