lambda transmission
15805.89216022429 0.0
15807.843986867934 0.0
15809.795813511577 1.0
15811.74764015522 1.0
15813.699466798864 1.0
15815.651293442506 1.0
15817.60312008615 1.0
15819.554946729793 1.0
15821.506773373438 1.0
15823.45860001708 1.0
15825.410426660725 1.0
15827.362253304367 1.0
15829.314079948012 1.0
15831.265906591654 1.0
15833.217733235299 1.0
15835.169559878941 1.0
15837.121386522584 1.0
15839.073213166228 1.0
15841.02503980987 1.0
15842.976866453515 1.0
15844.928693097158 1.0
15846.880519740802 1.0
15848.832346384444 1.0
15850.784173028089 1.0
15852.735999671731 1.0
15854.687826315376 1.0
15856.639652959018 1.0
15858.591479602663 1.0
15860.543306246305 1.0
15862.49513288995 1.0
15864.446959533592 1.0
15866.398786177235 1.0
15868.35061282088 1.0
15870.302439464522 1.0
15872.254266108166 1.0
15874.206092751809 1.0
15876.157919395453 1.0
15878.109746039096 1.0
15880.06157268274 1.0
15882.013399326383 1.0
15883.965225970027 1.0
15885.91705261367 1.0
15887.868879257314 1.0
15889.820705900956 1.0
15891.772532544599 1.0
15893.724359188243 1.0
15895.676185831886 1.0
15897.62801247553 1.0
15899.579839119173 1.0
15901.531665762817 1.0
15903.48349240646 1.0
15905.435319050104 1.0
15907.387145693747 1.0
15909.338972337391 1.0
15911.290798981034 1.0
15913.242625624678 1.0
15915.19445226832 1.0
15917.146278911963 1.0
15919.098105555608 1.0
15921.04993219925 1.0
15923.001758842895 1.0
15924.953585486537 1.0
15926.905412130182 1.0
15928.857238773824 1.0
15930.809065417468 1.0
15932.760892061111 1.0
15934.712718704755 1.0
15936.664545348398 1.0
15938.616371992042 1.0
15940.568198635685 1.0
15942.52002527933 1.0
15944.471851922972 1.0
15946.423678566614 1.0
15948.375505210259 1.0
15950.327331853901 1.0
15952.279158497546 1.0
15954.230985141188 1.0
15956.182811784833 1.0
15958.134638428475 1.0
15960.08646507212 1.0
15962.038291715762 1.0
15963.990118359407 1.0
15965.94194500305 1.0
15967.893771646693 1.0
15969.845598290336 1.0
15971.797424933979 1.0
15973.749251577623 1.0
15975.701078221266 1.0
15977.65290486491 1.0
15979.604731508553 1.0
15981.556558152197 1.0
15983.50838479584 1.0
15985.460211439484 1.0
15987.412038083126 1.0
15989.36386472677 1.0
15991.315691370413 1.0
15993.267518014058 1.0
15995.2193446577 1.0
15997.171171301343 1.0
15999.122997944987 1.0
16001.07482458863 1.0
16003.026651232274 1.0
16004.978477875917 1.0
16006.930304519561 1.0
16008.882131163204 1.0
16010.833957806848 1.0
16012.78578445049 1.0
16014.737611094135 1.0
16016.689437737778 1.0
16018.641264381422 1.0
16020.593091025064 1.0
16022.544917668707 1.0
16024.496744312351 1.0
16026.448570955994 1.0
16028.400397599638 1.0
16030.352224243281 1.0
16032.304050886925 1.0
16034.255877530568 1.0
16036.207704174212 1.0
16038.159530817855 1.0
16040.1113574615 1.0
16042.063184105142 1.0
16044.015010748786 1.0
16045.966837392429 1.0
16047.918664036071 1.0
16049.870490679716 1.0
16051.822317323358 1.0
16053.774143967003 1.0
16055.725970610645 1.0
16057.67779725429 1.0
16059.629623897932 1.0
16061.581450541576 1.0
16063.533277185219 1.0
16065.485103828863 1.0
16067.436930472506 1.0
16069.38875711615 1.0
16071.340583759793 1.0
16073.292410403437 1.0
16075.24423704708 1.0
16077.196063690722 1.0
16079.147890334367 1.0
16081.09971697801 1.0
16083.051543621654 1.0
16085.003370265296 1.0
16086.95519690894 1.0
16088.907023552583 1.0
16090.858850196228 1.0
16092.81067683987 1.0
16094.762503483515 1.0
16096.714330127157 1.0
16098.666156770802 1.0
16100.617983414444 1.0
16102.569810058087 1.0
16104.521636701731 1.0
16106.473463345374 1.0
16108.425289989018 1.0
16110.37711663266 1.0
16112.328943276305 1.0
16114.280769919947 1.0
16116.232596563592 1.0
16118.184423207234 1.0
16120.136249850879 1.0
16122.088076494521 1.0
16124.039903138166 1.0
16125.991729781808 1.0
16127.943556425453 1.0
16129.895383069095 1.0
16131.847209712738 1.0
16133.799036356382 1.0
16135.750863000025 1.0
16137.70268964367 1.0
16139.654516287312 1.0
16141.606342930956 1.0
16143.558169574599 1.0
16145.509996218243 1.0
16147.461822861886 1.0
16149.41364950553 1.0
16151.365476149173 1.0
16153.317302792817 1.0
16155.26912943646 1.0
16157.220956080102 1.0
16159.172782723746 1.0
16161.124609367389 1.0
16163.076436011033 1.0
16165.028262654676 1.0
16166.98008929832 1.0
16168.931915941963 1.0
16170.883742585607 1.0
16172.83556922925 1.0
16174.787395872894 1.0
16176.739222516537 1.0
16178.691049160181 1.0
16180.642875803824 1.0
16182.594702447466 1.0
16184.54652909111 1.0
16186.498355734753 1.0
16188.450182378398 1.0
16190.40200902204 1.0
16192.353835665685 1.0
16194.305662309327 1.0
16196.257488952971 1.0
16198.209315596614 1.0
16200.161142240258 1.0
16202.112968883901 0.0
16204.064795527545 0.0
