lambda transmission
36646.02436784363 0.0
36651.336925739815 0.0
36656.64948363599 1.0
36661.96204153217 1.0
36667.274599428354 1.0
36672.58715732453 1.0
36677.89971522071 1.0
36683.212273116886 1.0
36688.52483101307 1.0
36693.83738890925 1.0
36699.149946805424 1.0
36704.4625047016 1.0
36709.775062597786 1.0
36715.08762049396 1.0
36720.40017839014 1.0
36725.712736286325 1.0
36731.0252941825 1.0
36736.33785207868 1.0
36741.650409974856 1.0
36746.96296787104 1.0
36752.27552576722 1.0
36757.588083663395 1.0
36762.90064155957 1.0
36768.21319945576 1.0
36773.525757351934 1.0
36778.83831524811 1.0
36784.15087314429 1.0
36789.46343104047 1.0
36794.77598893665 1.0
36800.08854683283 1.0
36805.40110472901 1.0
36810.71366262519 1.0
36816.026220521366 1.0
36821.33877841754 1.0
36826.65133631373 1.0
36831.963894209905 1.0
36837.27645210608 1.0
36842.58901000226 1.0
36847.90156789844 1.0
36853.21412579462 1.0
36858.5266836908 1.0
36863.83924158698 1.0
36869.15179948316 1.0
36874.46435737934 1.0
36879.77691527551 1.0
36885.0894731717 1.0
36890.402031067875 1.0
36895.71458896405 1.0
36901.02714686023 1.0
36906.339704756414 1.0
36911.65226265259 1.0
36916.96482054877 1.0
36922.277378444945 1.0
36927.58993634113 1.0
36932.90249423731 1.0
36938.215052133484 1.0
36943.52761002967 1.0
36948.840167925846 1.0
36954.15272582202 1.0
36959.4652837182 1.0
36964.777841614385 1.0
36970.09039951056 1.0
36975.40295740674 1.0
36980.715515302916 1.0
36986.0280731991 1.0
36991.34063109528 1.0
36996.653188991455 1.0
37001.96574688764 1.0
37007.27830478382 1.0
37012.590862679994 1.0
37017.90342057617 1.0
37023.215978472355 1.0
37028.52853636853 1.0
37033.84109426471 1.0
37039.15365216089 1.0
37044.46621005707 1.0
37049.77876795325 1.0
37055.091325849426 1.0
37060.4038837456 1.0
37065.71644164179 1.0
37071.028999537964 1.0
37076.34155743414 1.0
37081.654115330326 1.0
37086.9666732265 1.0
37092.27923112268 1.0
37097.59178901886 1.0
37102.90434691504 1.0
37108.21690481122 1.0
37113.529462707396 1.0
37118.84202060357 1.0
37124.15457849976 1.0
37129.467136395935 1.0
37134.77969429211 1.0
37140.0922521883 1.0
37145.404810084474 1.0
37150.71736798065 1.0
37156.02992587683 1.0
37161.34248377301 1.0
37166.65504166919 1.0
37171.96759956537 1.0
37177.280157461544 1.0
37182.59271535773 1.0
37187.905273253906 1.0
37193.21783115008 1.0
37198.53038904627 1.0
37203.842946942445 1.0
37209.15550483862 1.0
37214.4680627348 1.0
37219.78062063098 1.0
37225.09317852716 1.0
37230.40573642334 1.0
37235.718294319515 1.0
37241.0308522157 1.0
37246.34341011188 1.0
37251.65596800805 1.0
37256.96852590423 1.0
37262.281083800415 1.0
37267.59364169659 1.0
37272.90619959277 1.0
37278.218757488954 1.0
37283.53131538513 1.0
37288.84387328131 1.0
37294.156431177486 1.0
37299.46898907367 1.0
37304.78154696985 1.0
37310.094104866024 1.0
37315.4066627622 1.0
37320.719220658386 1.0
37326.03177855456 1.0
37331.34433645074 1.0
37336.65689434692 1.0
37341.9694522431 1.0
37347.28201013928 1.0
37352.594568035456 1.0
37357.90712593164 1.0
37363.21968382782 1.0
37368.532241723995 1.0
37373.84479962017 1.0
37379.15735751636 1.0
37384.469915412534 1.0
37389.78247330871 1.0
37395.09503120489 1.0
37400.40758910107 1.0
37405.72014699725 1.0
37411.03270489343 1.0
37416.34526278961 1.0
37421.65782068579 1.0
37426.970378581966 1.0
37432.28293647814 1.0
37437.59549437433 1.0
37442.908052270504 1.0
37448.22061016668 1.0
37453.53316806286 1.0
37458.84572595904 1.0
37464.15828385522 1.0
37469.4708417514 1.0
37474.78339964758 1.0
37480.09595754376 1.0
37485.408515439936 1.0
37490.72107333611 1.0
37496.0336312323 1.0
37501.346189128475 1.0
37506.65874702465 1.0
37511.97130492083 1.0
37517.283862817014 1.0
37522.59642071319 1.0
37527.90897860937 1.0
37533.221536505545 1.0
37538.53409440173 1.0
37543.84665229791 1.0
37549.159210194084 1.0
37554.47176809027 1.0
37559.784325986446 1.0
37565.09688388262 1.0
37570.4094417788 1.0
37575.721999674985 1.0
37581.03455757116 1.0
37586.34711546734 1.0
37591.659673363516 1.0
37596.9722312597 1.0
37602.28478915588 1.0
37607.597347052055 1.0
37612.90990494824 1.0
37618.22246284442 1.0
37623.53502074059 1.0
37628.84757863677 1.0
37634.160136532955 1.0
37639.47269442913 1.0
37644.78525232531 1.0
37650.09781022149 1.0
37655.41036811767 1.0
37660.72292601385 1.0
37666.035483910026 1.0
37671.3480418062 1.0
37676.66059970239 1.0
37681.973157598564 1.0
37687.28571549474 1.0
37692.598273390926 1.0
37697.9108312871 1.0
37703.22338918328 1.0
37708.53594707946 1.0
37713.84850497564 1.0
37719.16106287182 1.0
37724.473620767996 0.0
37729.78617866417 0.0
