lambda transmission
11459.377478733906 0.0
11460.792566098531 0.0
11462.207653463156 1.0
11463.622740827781 1.0
11465.037828192406 1.0
11466.45291555703 1.0
11467.868002921656 1.0
11469.28309028628 1.0
11470.698177650907 1.0
11472.113265015532 1.0
11473.528352380157 1.0
11474.943439744782 1.0
11476.358527109407 1.0
11477.773614474032 1.0
11479.188701838657 1.0
11480.603789203282 1.0
11482.018876567907 1.0
11483.433963932532 1.0
11484.849051297157 1.0
11486.264138661782 1.0
11487.679226026408 1.0
11489.094313391033 1.0
11490.509400755658 1.0
11491.924488120283 1.0
11493.339575484908 1.0
11494.754662849533 1.0
11496.169750214158 1.0
11497.584837578783 1.0
11498.999924943408 1.0
11500.415012308033 1.0
11501.830099672658 1.0
11503.245187037284 1.0
11504.66027440191 1.0
11506.075361766534 1.0
11507.490449131159 1.0
11508.905536495784 1.0
11510.320623860409 1.0
11511.735711225034 1.0
11513.150798589659 1.0
11514.565885954284 1.0
11515.980973318909 1.0
11517.396060683534 1.0
11518.811148048158 1.0
11520.226235412785 1.0
11521.64132277741 1.0
11523.056410142035 1.0
11524.47149750666 1.0
11525.886584871285 1.0
11527.30167223591 1.0
11528.716759600535 1.0
11530.13184696516 1.0
11531.546934329785 1.0
11532.96202169441 1.0
11534.377109059034 1.0
11535.79219642366 1.0
11537.207283788286 1.0
11538.622371152911 1.0
11540.037458517536 1.0
11541.45254588216 1.0
11542.867633246786 1.0
11544.28272061141 1.0
11545.697807976036 1.0
11547.11289534066 1.0
11548.527982705285 1.0
11549.94307006991 1.0
11551.358157434535 1.0
11552.773244799162 1.0
11554.188332163787 1.0
11555.603419528412 1.0
11557.018506893037 1.0
11558.433594257662 1.0
11559.848681622287 1.0
11561.263768986912 1.0
11562.678856351537 1.0
11564.093943716161 1.0
11565.509031080786 1.0
11566.924118445411 1.0
11568.339205810036 1.0
11569.754293174663 1.0
11571.169380539288 1.0
11572.584467903913 1.0
11573.999555268538 1.0
11575.414642633163 1.0
11576.829729997788 1.0
11578.244817362413 1.0
11579.659904727037 1.0
11581.074992091662 1.0
11582.490079456287 1.0
11583.905166820912 1.0
11585.320254185539 1.0
11586.735341550164 1.0
11588.150428914789 1.0
11589.565516279414 1.0
11590.980603644039 1.0
11592.395691008664 1.0
11593.810778373288 1.0
11595.225865737913 1.0
11596.640953102538 1.0
11598.056040467163 1.0
11599.471127831788 1.0
11600.886215196413 1.0
11602.30130256104 1.0
11603.716389925665 1.0
11605.13147729029 1.0
11606.546564654915 1.0
11607.96165201954 1.0
11609.376739384164 1.0
11610.79182674879 1.0
11612.206914113414 1.0
11613.62200147804 1.0
11615.037088842664 1.0
11616.452176207289 1.0
11617.867263571916 1.0
11619.28235093654 1.0
11620.697438301166 1.0
11622.11252566579 1.0
11623.527613030416 1.0
11624.94270039504 1.0
11626.357787759665 1.0
11627.77287512429 1.0
11629.187962488915 1.0
11630.60304985354 1.0
11632.018137218165 1.0
11633.43322458279 1.0
11634.848311947417 1.0
11636.263399312042 1.0
11637.678486676667 1.0
11639.093574041292 1.0
11640.508661405916 1.0
11641.923748770541 1.0
11643.338836135166 1.0
11644.753923499791 1.0
11646.169010864416 1.0
11647.584098229041 1.0
11648.999185593666 1.0
11650.414272958293 1.0
11651.829360322918 1.0
11653.244447687543 1.0
11654.659535052167 1.0
11656.074622416792 1.0
11657.489709781417 1.0
11658.904797146042 1.0
11660.319884510667 1.0
11661.734971875292 1.0
11663.150059239917 1.0
11664.565146604542 1.0
11665.980233969167 1.0
11667.395321333794 1.0
11668.810408698419 1.0
11670.225496063043 1.0
11671.640583427668 1.0
11673.055670792293 1.0
11674.470758156918 1.0
11675.885845521543 1.0
11677.300932886168 1.0
11678.716020250793 1.0
11680.131107615418 1.0
11681.546194980043 1.0
11682.961282344668 1.0
11684.376369709295 1.0
11685.79145707392 1.0
11687.206544438544 1.0
11688.62163180317 1.0
11690.036719167794 1.0
11691.45180653242 1.0
11692.866893897044 1.0
11694.281981261669 1.0
11695.697068626294 1.0
11697.112155990919 1.0
11698.527243355544 1.0
11699.94233072017 1.0
11701.357418084795 1.0
11702.77250544942 1.0
11704.187592814045 1.0
11705.60268017867 1.0
11707.017767543295 1.0
11708.43285490792 1.0
11709.847942272545 1.0
11711.26302963717 1.0
11712.678117001795 1.0
11714.09320436642 1.0
11715.508291731045 1.0
11716.923379095671 1.0
11718.338466460296 1.0
11719.753553824921 1.0
11721.168641189546 1.0
11722.583728554171 1.0
11723.998815918796 1.0
11725.413903283421 1.0
11726.828990648046 1.0
11728.24407801267 1.0
11729.659165377296 1.0
11731.07425274192 1.0
11732.489340106546 1.0
11733.904427471172 1.0
11735.319514835797 1.0
11736.734602200422 1.0
11738.149689565047 1.0
11739.564776929672 1.0
11740.979864294297 1.0
11742.394951658922 1.0
11743.810039023547 1.0
11745.225126388172 1.0
11746.640213752797 0.0
11748.055301117422 0.0
