lambda transmission
40724.999672915306 0.0
40726.85943178246 0.0
40728.719190649615 1.0
40730.57894951677 1.0
40732.438708383925 1.0
40734.29846725107 1.0
40736.15822611823 1.0
40738.01798498538 1.0
40739.877743852536 1.0
40741.73750271968 1.0
40743.59726158684 1.0
40745.45702045399 1.0
40747.31677932115 1.0
40749.1765381883 1.0
40751.03629705545 1.0
40752.8960559226 1.0
40754.75581478976 1.0
40756.61557365691 1.0
40758.47533252406 1.0
40760.335091391215 1.0
40762.19485025837 1.0
40764.054609125524 1.0
40765.91436799267 1.0
40767.774126859826 1.0
40769.63388572698 1.0
40771.493644594135 1.0
40773.35340346129 1.0
40775.21316232844 1.0
40777.07292119559 1.0
40778.932680062746 1.0
40780.7924389299 1.0
40782.65219779705 1.0
40784.5119566642 1.0
40786.37171553136 1.0
40788.23147439851 1.0
40790.091233265666 1.0
40791.95099213281 1.0
40793.81075099997 1.0
40795.67050986712 1.0
40797.53026873428 1.0
40799.390027601425 1.0
40801.24978646858 1.0
40803.109545335734 1.0
40804.96930420289 1.0
40806.829063070036 1.0
40808.68882193719 1.0
40810.548580804345 1.0
40812.4083396715 1.0
40814.268098538654 1.0
40816.1278574058 1.0
40817.987616272956 1.0
40819.84737514011 1.0
40821.707134007265 1.0
40823.56689287441 1.0
40825.42665174157 1.0
40827.28641060872 1.0
40829.14616947588 1.0
40831.00592834303 1.0
40832.86568721018 1.0
40834.72544607733 1.0
40836.58520494449 1.0
40838.44496381164 1.0
40840.30472267879 1.0
40842.164481545944 1.0
40844.0242404131 1.0
40845.88399928025 1.0
40847.74375814741 1.0
40849.603517014555 1.0
40851.46327588171 1.0
40853.323034748864 1.0
40855.18279361602 1.0
40857.042552483166 1.0
40858.90231135032 1.0
40860.762070217475 1.0
40862.62182908463 1.0
40864.48158795178 1.0
40866.34134681893 1.0
40868.20110568609 1.0
40870.06086455324 1.0
40871.920623420396 1.0
40873.78038228754 1.0
40875.6401411547 1.0
40877.49990002185 1.0
40879.35965888901 1.0
40881.219417756154 1.0
40883.07917662331 1.0
40884.93893549046 1.0
40886.79869435762 1.0
40888.65845322477 1.0
40890.51821209192 1.0
40892.377970959074 1.0
40894.23772982623 1.0
40896.097488693384 1.0
40897.95724756053 1.0
40899.817006427686 1.0
40901.67676529484 1.0
40903.536524161995 1.0
40905.39628302915 1.0
40907.2560418963 1.0
40909.11580076345 1.0
40910.975559630606 1.0
40912.83531849776 1.0
40914.69507736491 1.0
40916.55483623206 1.0
40918.41459509922 1.0
40920.27435396637 1.0
40922.13411283352 1.0
40923.99387170067 1.0
40925.85363056783 1.0
40927.71338943498 1.0
40929.57314830214 1.0
40931.432907169285 1.0
40933.29266603644 1.0
40935.152424903594 1.0
40937.01218377075 1.0
40938.871942637896 1.0
40940.73170150505 1.0
40942.591460372205 1.0
40944.45121923936 1.0
40946.310978106514 1.0
40948.17073697366 1.0
40950.030495840816 1.0
40951.89025470797 1.0
40953.750013575125 1.0
40955.60977244227 1.0
40957.46953130943 1.0
40959.32929017658 1.0
40961.189049043736 1.0
40963.04880791088 1.0
40964.90856677804 1.0
40966.76832564519 1.0
40968.62808451235 1.0
40970.4878433795 1.0
40972.34760224665 1.0
40974.207361113804 1.0
40976.06711998096 1.0
40977.92687884811 1.0
40979.78663771526 1.0
40981.646396582415 1.0
40983.50615544957 1.0
40985.365914316724 1.0
40987.22567318388 1.0
40989.085432051026 1.0
40990.94519091818 1.0
40992.804949785335 1.0
40994.66470865249 1.0
40996.52446751964 1.0
40998.38422638679 1.0
41000.24398525395 1.0
41002.1037441211 1.0
41003.963502988256 1.0
41005.8232618554 1.0
41007.68302072256 1.0
41009.54277958971 1.0
41011.40253845687 1.0
41013.262297324014 1.0
41015.12205619117 1.0
41016.98181505832 1.0
41018.84157392548 1.0
41020.701332792625 1.0
41022.56109165978 1.0
41024.420850526934 1.0
41026.28060939409 1.0
41028.14036826124 1.0
41030.00012712839 1.0
41031.859885995545 1.0
41033.7196448627 1.0
41035.579403729855 1.0
41037.439162597 1.0
41039.29892146416 1.0
41041.15868033131 1.0
41043.018439198466 1.0
41044.87819806562 1.0
41046.73795693277 1.0
41048.59771579992 1.0
41050.45747466708 1.0
41052.31723353423 1.0
41054.17699240138 1.0
41056.03675126853 1.0
41057.89651013569 1.0
41059.75626900284 1.0
41061.61602787 1.0
41063.475786737145 1.0
41065.3355456043 1.0
41067.195304471454 1.0
41069.05506333861 1.0
41070.914822205756 1.0
41072.77458107291 1.0
41074.634339940065 1.0
41076.49409880722 1.0
41078.35385767437 1.0
41080.21361654152 1.0
41082.073375408676 1.0
41083.93313427583 1.0
41085.792893142985 1.0
41087.65265201013 1.0
41089.51241087729 1.0
41091.37216974444 1.0
41093.231928611596 1.0
41095.09168747874 1.0
41096.9514463459 1.0
41098.81120521305 1.0
41100.67096408021 1.0
41102.53072294736 0.0
41104.39048181451 0.0
