lambda transmission
47327.458938635784 0.0
47334.77045708761 0.0
47342.081975539426 1.0
47349.39349399124 1.0
47356.70501244307 1.0
47364.016530894885 1.0
47371.32804934671 1.0
47378.63956779853 1.0
47385.95108625035 1.0
47393.26260470217 1.0
47400.574123153994 1.0
47407.88564160581 1.0
47415.197160057636 1.0
47422.50867850945 1.0
47429.82019696128 1.0
47437.131715413096 1.0
47444.44323386491 1.0
47451.75475231674 1.0
47459.066270768555 1.0
47466.37778922038 1.0
47473.6893076722 1.0
47481.00082612402 1.0
47488.31234457584 1.0
47495.623863027664 1.0
47502.93538147948 1.0
47510.246899931306 1.0
47517.55841838312 1.0
47524.86993683495 1.0
47532.181455286765 1.0
47539.49297373858 1.0
47546.80449219041 1.0
47554.116010642225 1.0
47561.42752909405 1.0
47568.73904754587 1.0
47576.05056599769 1.0
47583.36208444951 1.0
47590.673602901334 1.0
47597.98512135315 1.0
47605.296639804976 1.0
47612.60815825679 1.0
47619.91967670862 1.0
47627.231195160435 1.0
47634.54271361226 1.0
47641.85423206408 1.0
47649.165750515895 1.0
47656.47726896772 1.0
47663.78878741954 1.0
47671.10030587136 1.0
47678.41182432318 1.0
47685.723342775 1.0
47693.03486122682 1.0
47700.346379678645 1.0
47707.65789813046 1.0
47714.96941658229 0.0
47722.280935034105 0.0
