lambda transmission
39003.816543934896 0.0
39010.94313201162 0.0
39018.06972008835 1.0
39025.19630816508 1.0
39032.32289624181 1.0
39039.44948431854 1.0
39046.57607239526 1.0
39053.702660471994 1.0
39060.829248548725 1.0
39067.95583662545 1.0
39075.08242470218 1.0
39082.209012778905 1.0
39089.33560085564 1.0
39096.46218893237 1.0
39103.58877700909 1.0
39110.71536508582 1.0
39117.84195316255 1.0
39124.96854123928 1.0
39132.095129316 1.0
39139.221717392735 1.0
39146.348305469466 1.0
39153.47489354619 1.0
39160.60148162292 1.0
39167.728069699646 1.0
39174.85465777638 1.0
39181.98124585311 1.0
39189.10783392983 1.0
39196.234422006564 1.0
39203.36101008329 1.0
39210.48759816002 1.0
39217.61418623675 1.0
39224.740774313475 1.0
39231.86736239021 1.0
39238.99395046693 1.0
39246.12053854366 1.0
39253.247126620394 1.0
39260.37371469712 1.0
39267.50030277385 1.0
39274.62689085057 1.0
39281.753478927305 1.0
39288.88006700404 1.0
39296.00665508076 1.0
39303.13324315749 1.0
39310.259831234216 1.0
39317.38641931095 1.0
39324.51300738768 1.0
39331.6395954644 1.0
39338.766183541135 1.0
39345.89277161786 1.0
39353.01935969459 1.0
39360.145947771314 1.0
39367.272535848046 1.0
39374.39912392478 1.0
39381.5257120015 0.0
39388.65230007823 0.0
