lambda transmission
41775.635098130304 0.0
41783.26813944186 0.0
41790.90118075341 1.0
41798.53422206496 1.0
41806.16726337652 1.0
41813.80030468807 1.0
41821.43334599963 1.0
41829.06638731118 1.0
41836.69942862273 1.0
41844.332469934285 1.0
41851.965511245835 1.0
41859.59855255739 1.0
41867.23159386894 1.0
41874.86463518049 1.0
41882.49767649205 1.0
41890.1307178036 1.0
41897.76375911516 1.0
41905.39680042671 1.0
41913.02984173826 1.0
41920.662883049816 1.0
41928.295924361366 1.0
41935.92896567292 1.0
41943.56200698447 1.0
41951.19504829603 1.0
41958.82808960758 1.0
41966.46113091913 1.0
41974.09417223069 1.0
41981.72721354224 1.0
41989.3602548538 1.0
41996.99329616535 1.0
42004.6263374769 1.0
42012.259378788454 1.0
42019.892420100005 1.0
42027.52546141156 1.0
42035.15850272311 1.0
42042.79154403466 1.0
42050.42458534622 1.0
42058.05762665777 1.0
42065.69066796933 1.0
42073.32370928088 1.0
42080.95675059243 1.0
42088.589791903985 1.0
42096.222833215536 1.0
42103.85587452709 1.0
42111.48891583864 1.0
42119.12195715019 1.0
42126.75499846175 1.0
42134.3880397733 1.0
42142.02108108486 1.0
42149.65412239641 1.0
42157.28716370796 1.0
42164.920205019516 1.0
42172.55324633107 1.0
42180.186287642624 0.0
42187.819328954174 0.0
