lambda transmission
40365.941180329755 0.0
40373.31664920977 0.0
40380.69211808979 1.0
40388.06758696981 1.0
40395.44305584983 1.0
40402.81852472984 1.0
40410.19399360986 1.0
40417.569462489875 1.0
40424.94493136989 1.0
40432.320400249904 1.0
40439.69586912992 1.0
40447.07133800994 1.0
40454.44680688996 1.0
40461.82227576997 1.0
40469.19774464999 1.0
40476.573213530006 1.0
40483.948682410024 1.0
40491.324151290035 1.0
40498.69962017005 1.0
40506.07508905007 1.0
40513.45055793009 1.0
40520.8260268101 1.0
40528.20149569012 1.0
40535.57696457014 1.0
40542.952433450155 1.0
40550.327902330166 1.0
40557.703371210184 1.0
40565.0788400902 1.0
40572.45430897022 1.0
40579.82977785023 1.0
40587.20524673025 1.0
40594.58071561027 1.0
40601.956184490286 1.0
40609.331653370304 1.0
40616.707122250315 1.0
40624.08259113033 1.0
40631.45806001035 1.0
40638.83352889037 1.0
40646.20899777038 1.0
40653.5844666504 1.0
40660.959935530416 1.0
40668.335404410434 1.0
40675.710873290445 1.0
40683.08634217046 1.0
40690.46181105048 1.0
40697.8372799305 1.0
40705.21274881051 1.0
40712.58821769053 1.0
40719.96368657055 1.0
40727.339155450565 1.0
40734.714624330576 1.0
40742.090093210594 1.0
40749.46556209061 1.0
40756.84103097063 0.0
40764.21649985064 0.0
