lambda transmission
16161.165838966584 0.0
16169.154551689751 0.0
16177.143264412918 1.0
16185.131977136085 1.0
16193.120689859252 1.0
16201.109402582419 1.0
16209.098115305585 1.0
16217.086828028752 1.0
16225.07554075192 1.0
16233.064253475086 1.0
16241.052966198253 1.0
16249.04167892142 1.0
16257.030391644586 1.0
16265.019104367753 1.0
16273.00781709092 1.0
16280.996529814087 1.0
16288.985242537254 1.0
16296.97395526042 1.0
16304.962667983587 1.0
16312.951380706754 1.0
16320.940093429921 1.0
16328.928806153088 1.0
16336.917518876257 1.0
16344.906231599423 1.0
16352.89494432259 1.0
16360.883657045757 1.0
16368.872369768924 1.0
16376.86108249209 1.0
16384.849795215257 1.0
16392.838507938424 1.0
16400.82722066159 1.0
16408.815933384758 1.0
16416.804646107925 1.0
16424.79335883109 1.0
16432.78207155426 1.0
16440.770784277425 1.0
16448.759497000592 1.0
16456.74820972376 1.0
16464.736922446926 1.0
16472.725635170093 1.0
16480.71434789326 1.0
16488.703060616426 1.0
16496.691773339593 1.0
16504.68048606276 1.0
16512.669198785927 1.0
16520.657911509094 1.0
16528.64662423226 1.0
16536.635336955427 1.0
16544.624049678594 1.0
16552.61276240176 1.0
16560.601475124928 1.0
16568.590187848095 1.0
16576.57890057126 1.0
16584.567613294428 0.0
16592.556326017595 0.0
