lambda transmission
47671.96506177128 0.0
47679.3298022412 0.0
47686.69454271111 1.0
47694.05928318103 1.0
47701.42402365094 1.0
47708.788764120865 1.0
47716.15350459078 1.0
47723.518245060695 1.0
47730.88298553061 1.0
47738.24772600053 1.0
47745.61246647045 1.0
47752.97720694036 1.0
47760.34194741028 1.0
47767.7066878802 1.0
47775.071428350115 1.0
47782.43616882003 1.0
47789.800909289945 1.0
47797.16564975987 1.0
47804.53039022978 1.0
47811.8951306997 1.0
47819.25987116961 1.0
47826.624611639534 1.0
47833.98935210945 1.0
47841.354092579364 1.0
47848.71883304928 1.0
47856.0835735192 1.0
47863.448313989116 1.0
47870.81305445903 1.0
47878.177794928946 1.0
47885.54253539887 1.0
47892.90727586878 1.0
47900.2720163387 1.0
47907.63675680861 1.0
47915.001497278536 1.0
47922.36623774845 1.0
47929.730978218366 1.0
47937.09571868828 1.0
47944.4604591582 1.0
47951.82519962812 1.0
47959.18994009803 1.0
47966.55468056795 1.0
47973.91942103787 1.0
47981.284161507785 1.0
47988.6489019777 1.0
47996.013642447615 1.0
48003.37838291754 1.0
48010.74312338745 1.0
48018.10786385737 1.0
48025.47260432728 1.0
48032.837344797204 1.0
48040.20208526712 1.0
48047.566825737034 1.0
48054.93156620695 1.0
48062.29630667687 0.0
48069.66104714679 0.0
