lambda transmission
46985.44242273012 0.0
46992.701103777974 0.0
46999.95978482582 1.0
47007.218465873666 1.0
47014.47714692152 1.0
47021.735827969365 1.0
47028.99450901722 1.0
47036.253190065065 1.0
47043.51187111292 1.0
47050.770552160764 1.0
47058.02923320862 1.0
47065.28791425646 1.0
47072.54659530432 1.0
47079.80527635216 1.0
47087.063957400016 1.0
47094.32263844786 1.0
47101.581319495715 1.0
47108.84000054356 1.0
47116.098681591415 1.0
47123.35736263926 1.0
47130.616043687114 1.0
47137.87472473496 1.0
47145.13340578281 1.0
47152.39208683066 1.0
47159.65076787851 1.0
47166.90944892636 1.0
47174.16812997421 1.0
47181.42681102206 1.0
47188.68549206991 1.0
47195.94417311776 1.0
47203.202854165604 1.0
47210.46153521346 1.0
47217.7202162613 1.0
47224.978897309156 1.0
47232.237578357 1.0
47239.496259404856 1.0
47246.7549404527 1.0
47254.013621500555 1.0
47261.2723025484 1.0
47268.530983596254 1.0
47275.7896646441 1.0
47283.048345691954 1.0
47290.3070267398 1.0
47297.56570778765 1.0
47304.8243888355 1.0
47312.08306988335 1.0
47319.3417509312 1.0
47326.60043197905 1.0
47333.8591130269 1.0
47341.11779407475 1.0
47348.3764751226 1.0
47355.63515617045 1.0
47362.8938372183 1.0
47370.15251826615 0.0
47377.411199313996 0.0
