lambda transmission
45312.07878388041 0.0
45319.078950539435 0.0
45326.07911719846 1.0
45333.079283857485 1.0
45340.07945051651 1.0
45347.07961717554 1.0
45354.07978383457 1.0
45361.07995049359 1.0
45368.08011715262 1.0
45375.08028381165 1.0
45382.080450470676 1.0
45389.0806171297 1.0
45396.080783788726 1.0
45403.08095044776 1.0
45410.08111710678 1.0
45417.08128376581 1.0
45424.081450424834 1.0
45431.08161708386 1.0
45438.08178374289 1.0
45445.08195040192 1.0
45452.08211706094 1.0
45459.08228371997 1.0
45466.082450379 1.0
45473.082617038024 1.0
45480.08278369705 1.0
45487.082950356074 1.0
45494.0831170151 1.0
45501.08328367413 1.0
45508.08345033316 1.0
45515.08361699218 1.0
45522.08378365121 1.0
45529.08395031024 1.0
45536.084116969265 1.0
45543.08428362829 1.0
45550.084450287315 1.0
45557.08461694635 1.0
45564.08478360537 1.0
45571.0849502644 1.0
45578.08511692342 1.0
45585.08528358245 1.0
45592.08545024148 1.0
45599.085616900506 1.0
45606.08578355953 1.0
45613.085950218556 1.0
45620.08611687759 1.0
45627.08628353661 1.0
45634.08645019564 1.0
45641.08661685466 1.0
45648.086783513696 1.0
45655.08695017272 1.0
45662.087116831746 1.0
45669.08728349077 1.0
45676.0874501498 1.0
45683.08761680883 0.0
45690.087783467854 0.0
