lambda transmission
15435.529978190812 0.0
15443.159997952645 0.0
15450.79001771448 1.0
15458.420037476315 1.0
15466.050057238148 1.0
15473.680076999983 1.0
15481.310096761817 1.0
15488.940116523652 1.0
15496.570136285485 1.0
15504.20015604732 1.0
15511.830175809155 1.0
15519.46019557099 1.0
15527.090215332822 1.0
15534.720235094657 1.0
15542.350254856492 1.0
15549.980274618327 1.0
15557.61029438016 1.0
15565.240314141995 1.0
15572.87033390383 1.0
15580.500353665664 1.0
15588.130373427497 1.0
15595.760393189332 1.0
15603.390412951167 1.0
15611.020432713001 1.0
15618.650452474834 1.0
15626.280472236669 1.0
15633.910491998504 1.0
15641.540511760339 1.0
15649.170531522172 1.0
15656.800551284006 1.0
15664.430571045841 1.0
15672.060590807676 1.0
15679.690610569509 1.0
15687.320630331344 1.0
15694.950650093178 1.0
15702.580669855013 1.0
15710.210689616846 1.0
15717.840709378681 1.0
15725.470729140516 1.0
15733.10074890235 1.0
15740.730768664183 1.0
15748.360788426018 1.0
15755.990808187853 1.0
15763.620827949688 1.0
15771.25084771152 1.0
15778.880867473355 1.0
15786.51088723519 1.0
15794.140906997025 1.0
15801.770926758858 1.0
15809.400946520693 1.0
15817.030966282528 1.0
15824.660986044362 1.0
15832.291005806195 1.0
15839.92102556803 0.0
15847.551045329865 0.0
