lambda transmission
22291.05768688136 0.0
22302.076499381055 0.0
22313.09531188075 1.0
22324.11412438044 1.0
22335.132936880138 1.0
22346.15174937983 1.0
22357.170561879524 1.0
22368.18937437922 1.0
22379.208186878914 1.0
22390.226999378607 1.0
22401.245811878303 1.0
22412.264624377996 1.0
22423.28343687769 1.0
22434.302249377386 1.0
22445.32106187708 1.0
22456.339874376772 1.0
22467.35868687647 1.0
22478.37749937616 1.0
22489.396311875855 1.0
22500.41512437555 1.0
22511.433936875244 1.0
22522.452749374937 1.0
22533.471561874634 1.0
22544.490374374327 1.0
22555.50918687402 1.0
22566.527999373713 1.0
22577.54681187341 1.0
22588.565624373103 1.0
22599.584436872796 1.0
22610.603249372492 1.0
22621.622061872185 1.0
22632.64087437188 1.0
22643.659686871575 1.0
22654.678499371268 1.0
22665.69731187096 1.0
22676.716124370658 1.0
22687.73493687035 1.0
22698.753749370044 1.0
22709.77256186974 1.0
22720.791374369433 1.0
22731.810186869126 1.0
22742.828999368823 1.0
22753.847811868516 1.0
22764.86662436821 1.0
22775.885436867906 1.0
22786.9042493676 1.0
22797.923061867292 1.0
22808.94187436699 1.0
22819.96068686668 1.0
22830.979499366375 1.0
22841.99831186607 1.0
22853.017124365764 1.0
22864.035936865457 1.0
22875.054749365154 0.0
22886.073561864847 0.0
