lambda transmission
48018.97891448997 0.0
48026.397264391795 0.0
48033.81561429361 1.0
48041.23396419543 1.0
48048.65231409726 1.0
48056.070663999075 1.0
48063.4890139009 1.0
48070.90736380272 1.0
48078.325713704544 1.0
48085.74406360636 1.0
48093.16241350819 1.0
48100.580763410006 1.0
48107.999113311824 1.0
48115.41746321365 1.0
48122.83581311547 1.0
48130.25416301729 1.0
48137.67251291911 1.0
48145.090862820936 1.0
48152.509212722754 1.0
48159.92756262458 1.0
48167.3459125264 1.0
48174.76426242822 1.0
48182.18261233004 1.0
48189.60096223186 1.0
48197.019312133685 1.0
48204.4376620355 1.0
48211.85601193733 1.0
48219.27436183915 1.0
48226.69271174097 1.0
48234.11106164279 1.0
48241.529411544616 1.0
48248.947761446434 1.0
48256.36611134825 1.0
48263.78446125008 1.0
48271.202811151896 1.0
48278.62116105372 1.0
48286.03951095554 1.0
48293.457860857365 1.0
48300.87621075918 1.0
48308.29456066101 1.0
48315.71291056283 1.0
48323.131260464645 1.0
48330.54961036647 1.0
48337.96796026829 1.0
48345.38631017011 1.0
48352.80466007193 1.0
48360.22300997376 1.0
48367.641359875575 1.0
48375.0597097774 1.0
48382.47805967922 1.0
48389.896409581044 1.0
48397.31475948286 1.0
48404.73310938468 1.0
48412.151459286506 0.0
48419.569809188324 0.0
