lambda transmission
10445.683065598065 0.0
10450.84652732105 0.0
10456.009989044034 1.0
10461.173450767019 1.0
10466.336912490004 1.0
10471.500374212988 1.0
10476.663835935973 1.0
10481.827297658958 1.0
10486.990759381943 1.0
10492.154221104927 1.0
10497.317682827912 1.0
10502.481144550897 1.0
10507.644606273881 1.0
10512.808067996866 1.0
10517.97152971985 1.0
10523.134991442836 1.0
10528.29845316582 1.0
10533.461914888805 1.0
10538.62537661179 1.0
10543.788838334774 1.0
10548.95230005776 1.0
10554.115761780744 1.0
10559.279223503729 1.0
10564.442685226713 1.0
10569.606146949698 1.0
10574.769608672683 1.0
10579.933070395668 1.0
10585.096532118652 1.0
10590.259993841637 1.0
10595.423455564622 1.0
10600.586917287606 1.0
10605.750379010591 1.0
10610.913840733576 1.0
10616.07730245656 1.0
10621.240764179545 1.0
10626.40422590253 1.0
10631.567687625515 1.0
10636.7311493485 1.0
10641.894611071484 1.0
10647.058072794469 1.0
10652.221534517454 1.0
10657.384996240438 1.0
10662.548457963423 1.0
10667.711919686408 1.0
10672.875381409393 1.0
10678.038843132377 1.0
10683.202304855362 1.0
10688.365766578347 1.0
10693.529228301331 1.0
10698.692690024316 1.0
10703.8561517473 1.0
10709.019613470286 1.0
10714.18307519327 1.0
10719.346536916255 0.0
10724.50999863924 0.0
