lambda transmission
46645.89752266389 0.0
46653.10374814244 0.0
46660.30997362099 1.0
46667.51619909954 1.0
46674.722424578096 1.0
46681.928650056645 1.0
46689.1348755352 1.0
46696.34110101375 1.0
46703.5473264923 1.0
46710.753551970854 1.0
46717.9597774494 1.0
46725.16600292795 1.0
46732.37222840651 1.0
46739.57845388506 1.0
46746.78467936361 1.0
46753.99090484216 1.0
46761.19713032071 1.0
46768.403355799266 1.0
46775.609581277815 1.0
46782.81580675636 1.0
46790.02203223492 1.0
46797.22825771347 1.0
46804.434483192024 1.0
46811.64070867057 1.0
46818.84693414912 1.0
46826.05315962768 1.0
46833.25938510623 1.0
46840.46561058478 1.0
46847.67183606333 1.0
46854.87806154188 1.0
46862.084287020436 1.0
46869.290512498985 1.0
46876.49673797753 1.0
46883.70296345609 1.0
46890.90918893464 1.0
46898.115414413194 1.0
46905.32163989174 1.0
46912.52786537029 1.0
46919.73409084885 1.0
46926.9403163274 1.0
46934.146541805945 1.0
46941.3527672845 1.0
46948.55899276305 1.0
46955.765218241606 1.0
46962.971443720155 1.0
46970.1776691987 1.0
46977.38389467726 1.0
46984.59012015581 1.0
46991.796345634364 1.0
46999.00257111291 1.0
47006.20879659146 1.0
47013.41502207002 1.0
47020.621247548566 1.0
47027.827473027115 0.0
47035.03369850567 0.0
