lambda transmission
30357.737453611488 0.0
30366.541901828892 0.0
30375.346350046297 1.0
30384.1507982637 1.0
30392.955246481106 1.0
30401.75969469851 1.0
30410.564142915915 1.0
30419.36859113332 1.0
30428.173039350724 1.0
30436.97748756813 1.0
30445.781935785533 1.0
30454.586384002938 1.0
30463.390832220342 1.0
30472.195280437747 1.0
30480.999728655155 1.0
30489.80417687256 1.0
30498.608625089964 1.0
30507.41307330737 1.0
30516.217521524773 1.0
30525.021969742178 1.0
30533.826417959583 1.0
30542.630866176987 1.0
30551.43531439439 1.0
30560.239762611796 1.0
30569.0442108292 1.0
30577.848659046605 1.0
30586.65310726401 1.0
30595.457555481415 1.0
30604.26200369882 1.0
30613.066451916224 1.0
30621.87090013363 1.0
30630.675348351033 1.0
30639.479796568437 1.0
30648.284244785842 1.0
30657.088693003247 1.0
30665.89314122065 1.0
30674.697589438056 1.0
30683.50203765546 1.0
30692.30648587287 1.0
30701.110934090273 1.0
30709.915382307678 1.0
30718.719830525082 1.0
30727.524278742487 1.0
30736.32872695989 1.0
30745.133175177296 1.0
30753.9376233947 1.0
30762.742071612105 1.0
30771.54651982951 1.0
30780.350968046914 1.0
30789.15541626432 1.0
30797.959864481723 1.0
30806.764312699128 1.0
30815.568760916532 1.0
30824.373209133937 1.0
30833.17765735134 1.0
30841.982105568746 1.0
30850.78655378615 1.0
30859.591002003555 1.0
30868.39545022096 1.0
30877.199898438364 1.0
30886.00434665577 1.0
30894.808794873177 1.0
30903.61324309058 1.0
30912.417691307986 1.0
30921.22213952539 1.0
30930.026587742796 1.0
30938.8310359602 1.0
30947.635484177605 1.0
30956.43993239501 1.0
30965.244380612414 1.0
30974.04882882982 1.0
30982.853277047223 1.0
30991.657725264628 1.0
31000.462173482032 1.0
31009.266621699437 1.0
31018.07106991684 1.0
31026.875518134246 1.0
31035.67996635165 1.0
31044.484414569055 1.0
31053.28886278646 1.0
31062.093311003864 1.0
31070.89775922127 1.0
31079.702207438673 1.0
31088.506655656078 1.0
31097.311103873482 1.0
31106.11555209089 1.0
31114.920000308295 1.0
31123.7244485257 1.0
31132.528896743104 1.0
31141.33334496051 1.0
31150.137793177913 1.0
31158.942241395318 1.0
31167.746689612723 1.0
31176.551137830127 1.0
31185.35558604753 1.0
31194.160034264936 1.0
31202.96448248234 1.0
31211.768930699745 1.0
31220.57337891715 1.0
31229.377827134555 1.0
31238.18227535196 1.0
31246.986723569364 1.0
31255.79117178677 1.0
31264.595620004173 0.0
31273.400068221577 0.0
