lambda transmission
10450.84652732105 0.0
10453.428258182543 0.0
10456.009989044034 1.0
10458.591719905526 1.0
10461.173450767019 1.0
10463.75518162851 1.0
10466.336912490004 1.0
10468.918643351495 1.0
10471.500374212988 1.0
10474.08210507448 1.0
10476.663835935973 1.0
10479.245566797465 1.0
10481.827297658958 1.0
10484.40902852045 1.0
10486.990759381943 1.0
10489.572490243434 1.0
10492.154221104927 1.0
10494.735951966419 1.0
10497.317682827912 1.0
10499.899413689403 1.0
10502.481144550897 1.0
10505.062875412388 1.0
10507.644606273881 1.0
10510.226337135373 1.0
10512.808067996866 1.0
10515.389798858358 1.0
10517.97152971985 1.0
10520.553260581342 1.0
10523.134991442836 1.0
10525.716722304327 1.0
10528.29845316582 1.0
10530.880184027312 1.0
10533.461914888805 1.0
10536.043645750296 1.0
10538.62537661179 1.0
10541.207107473281 1.0
10543.788838334774 1.0
10546.370569196266 1.0
10548.95230005776 1.0
10551.53403091925 1.0
10554.115761780744 1.0
10556.697492642235 1.0
10559.279223503729 1.0
10561.86095436522 1.0
10564.442685226713 1.0
10567.024416088205 1.0
10569.606146949698 1.0
10572.18787781119 1.0
10574.769608672683 1.0
10577.351339534174 1.0
10579.933070395668 1.0
10582.514801257159 1.0
10585.096532118652 1.0
10587.678262980144 1.0
10590.259993841637 1.0
10592.841724703128 1.0
10595.423455564622 1.0
10598.005186426113 1.0
10600.586917287606 1.0
10603.168648149098 1.0
10605.750379010591 1.0
10608.332109872083 1.0
10610.913840733576 1.0
10613.495571595067 1.0
10616.07730245656 1.0
10618.659033318052 1.0
10621.240764179545 1.0
10623.822495041037 1.0
10626.40422590253 1.0
10628.985956764021 1.0
10631.567687625515 1.0
10634.149418487006 1.0
10636.7311493485 1.0
10639.31288020999 1.0
10641.894611071484 1.0
10644.476341932976 1.0
10647.058072794469 1.0
10649.63980365596 1.0
10652.221534517454 1.0
10654.803265378945 1.0
10657.384996240438 1.0
10659.96672710193 1.0
10662.548457963423 1.0
10665.130188824915 1.0
10667.711919686408 1.0
10670.2936505479 1.0
10672.875381409393 1.0
10675.457112270884 1.0
10678.038843132377 1.0
10680.620573993869 1.0
10683.202304855362 1.0
10685.784035716853 1.0
10688.365766578347 1.0
10690.947497439838 1.0
10693.529228301331 1.0
10696.110959162823 1.0
10698.692690024316 1.0
10701.274420885808 1.0
10703.8561517473 1.0
10706.437882608792 1.0
10709.019613470286 1.0
10711.601344331777 1.0
10714.18307519327 1.0
10716.764806054762 0.0
10719.346536916255 0.0
