lambda transmission
22302.076499381055 0.0
22307.585905630902 0.0
22313.09531188075 1.0
22318.604718130595 1.0
22324.11412438044 1.0
22329.623530630288 1.0
22335.132936880138 1.0
22340.642343129985 1.0
22346.15174937983 1.0
22351.661155629678 1.0
22357.170561879524 1.0
22362.67996812937 1.0
22368.18937437922 1.0
22373.698780629067 1.0
22379.208186878914 1.0
22384.71759312876 1.0
22390.226999378607 1.0
22395.736405628453 1.0
22401.245811878303 1.0
22406.75521812815 1.0
22412.264624377996 1.0
22417.774030627843 1.0
22423.28343687769 1.0
22428.792843127536 1.0
22434.302249377386 1.0
22439.811655627233 1.0
22445.32106187708 1.0
22450.830468126926 1.0
22456.339874376772 1.0
22461.84928062662 1.0
22467.35868687647 1.0
22472.868093126315 1.0
22478.37749937616 1.0
22483.88690562601 1.0
22489.396311875855 1.0
22494.9057181257 1.0
22500.41512437555 1.0
22505.924530625398 1.0
22511.433936875244 1.0
22516.94334312509 1.0
22522.452749374937 1.0
22527.962155624784 1.0
22533.471561874634 1.0
22538.98096812448 1.0
22544.490374374327 1.0
22549.999780624174 1.0
22555.50918687402 1.0
22561.018593123867 1.0
22566.527999373713 1.0
22572.037405623563 1.0
22577.54681187341 1.0
22583.056218123256 1.0
22588.565624373103 1.0
22594.07503062295 1.0
22599.584436872796 1.0
22605.093843122646 1.0
22610.603249372492 1.0
22616.11265562234 1.0
22621.622061872185 1.0
22627.131468122032 1.0
22632.64087437188 1.0
22638.15028062173 1.0
22643.659686871575 1.0
22649.16909312142 1.0
22654.678499371268 1.0
22660.187905621115 1.0
22665.69731187096 1.0
22671.20671812081 1.0
22676.716124370658 1.0
22682.225530620504 1.0
22687.73493687035 1.0
22693.244343120197 1.0
22698.753749370044 1.0
22704.263155619894 1.0
22709.77256186974 1.0
22715.281968119587 1.0
22720.791374369433 1.0
22726.30078061928 1.0
22731.810186869126 1.0
22737.319593118977 1.0
22742.828999368823 1.0
22748.33840561867 1.0
22753.847811868516 1.0
22759.357218118363 1.0
22764.86662436821 1.0
22770.376030618056 1.0
22775.885436867906 1.0
22781.394843117752 1.0
22786.9042493676 1.0
22792.413655617445 1.0
22797.923061867292 1.0
22803.43246811714 1.0
22808.94187436699 1.0
22814.451280616835 1.0
22819.96068686668 1.0
22825.470093116528 1.0
22830.979499366375 1.0
22836.48890561622 1.0
22841.99831186607 1.0
22847.507718115918 1.0
22853.017124365764 1.0
22858.52653061561 1.0
22864.035936865457 1.0
22869.545343115304 0.0
22875.054749365154 0.0
