lambda transmission
12850.842646009236 0.0
12854.0172612874 0.0
12857.191876565565 1.0
12860.36649184373 1.0
12863.541107121893 1.0
12866.715722400058 1.0
12869.890337678222 1.0
12873.064952956387 1.0
12876.23956823455 1.0
12879.414183512716 1.0
12882.588798790879 1.0
12885.763414069044 1.0
12888.938029347208 1.0
12892.112644625373 1.0
12895.287259903536 1.0
12898.461875181702 1.0
12901.636490459865 1.0
12904.81110573803 1.0
12907.985721016194 1.0
12911.160336294359 1.0
12914.334951572522 1.0
12917.509566850687 1.0
12920.68418212885 1.0
12923.858797407016 1.0
12927.03341268518 1.0
12930.208027963345 1.0
12933.382643241508 1.0
12936.557258519673 1.0
12939.731873797837 1.0
12942.906489076002 1.0
12946.081104354165 1.0
12949.25571963233 1.0
12952.430334910494 1.0
12955.60495018866 1.0
12958.779565466823 1.0
12961.954180744988 1.0
12965.128796023153 1.0
12968.303411301316 1.0
12971.478026579482 1.0
12974.652641857645 1.0
12977.82725713581 1.0
12981.001872413974 1.0
12984.176487692139 1.0
12987.351102970302 1.0
12990.525718248467 1.0
12993.70033352663 1.0
12996.874948804796 1.0
13000.04956408296 1.0
13003.224179361125 1.0
13006.398794639288 1.0
13009.573409917453 1.0
13012.748025195617 1.0
13015.922640473782 1.0
13019.097255751945 1.0
13022.27187103011 1.0
13025.446486308274 1.0
13028.62110158644 1.0
13031.795716864603 1.0
13034.970332142768 1.0
13038.144947420931 1.0
13041.319562699096 1.0
13044.49417797726 1.0
13047.668793255425 1.0
13050.843408533588 1.0
13054.018023811754 1.0
13057.192639089917 1.0
13060.367254368082 1.0
13063.541869646246 1.0
13066.71648492441 1.0
13069.891100202574 1.0
13073.06571548074 1.0
13076.240330758905 1.0
13079.414946037068 1.0
13082.589561315233 1.0
13085.764176593397 1.0
13088.938791871562 1.0
13092.113407149725 1.0
13095.28802242789 1.0
13098.462637706054 1.0
13101.63725298422 1.0
13104.811868262383 1.0
13107.986483540548 1.0
13111.161098818711 1.0
13114.335714096876 1.0
13117.51032937504 1.0
13120.684944653205 1.0
13123.859559931368 1.0
13127.034175209534 1.0
13130.208790487697 1.0
13133.383405765862 1.0
13136.558021044026 1.0
13139.732636322191 1.0
13142.907251600354 1.0
13146.08186687852 1.0
13149.256482156683 1.0
13152.431097434848 1.0
13155.605712713012 1.0
13158.780327991177 1.0
13161.95494326934 1.0
13165.129558547505 1.0
13168.304173825669 1.0
13171.478789103834 1.0
13174.653404382 1.0
13177.828019660163 0.0
13181.002634938328 0.0
