lambda transmission
12559.028188364506 0.0
12562.130715090881 0.0
12565.233241817255 1.0
12568.33576854363 1.0
12571.438295270005 1.0
12574.54082199638 1.0
12577.643348722753 1.0
12580.745875449129 1.0
12583.848402175503 1.0
12586.950928901879 1.0
12590.053455628253 1.0
12593.155982354627 1.0
12596.258509081003 1.0
12599.361035807377 1.0
12602.46356253375 1.0
12605.566089260126 1.0
12608.6686159865 1.0
12611.771142712874 1.0
12614.87366943925 1.0
12617.976196165624 1.0
12621.078722891998 1.0
12624.181249618374 1.0
12627.283776344748 1.0
12630.386303071124 1.0
12633.488829797498 1.0
12636.591356523872 1.0
12639.693883250247 1.0
12642.796409976621 1.0
12645.898936702995 1.0
12649.001463429371 1.0
12652.103990155745 1.0
12655.20651688212 1.0
12658.309043608495 1.0
12661.411570334869 1.0
12664.514097061243 1.0
12667.616623787619 1.0
12670.719150513993 1.0
12673.821677240368 1.0
12676.924203966742 1.0
12680.026730693116 1.0
12683.129257419492 1.0
12686.231784145866 1.0
12689.33431087224 1.0
12692.436837598616 1.0
12695.53936432499 1.0
12698.641891051364 1.0
12701.74441777774 1.0
12704.846944504114 1.0
12707.949471230488 1.0
12711.051997956863 1.0
12714.154524683237 1.0
12717.257051409613 1.0
12720.359578135987 1.0
12723.462104862361 1.0
12726.564631588737 1.0
12729.667158315111 1.0
12732.769685041485 1.0
12735.87221176786 1.0
12738.974738494235 1.0
12742.077265220609 1.0
12745.179791946985 1.0
12748.282318673359 1.0
12751.384845399733 1.0
12754.487372126108 1.0
12757.589898852482 1.0
12760.692425578858 1.0
12763.794952305232 1.0
12766.897479031606 1.0
12770.000005757982 1.0
12773.102532484356 1.0
12776.20505921073 1.0
12779.307585937106 1.0
12782.41011266348 1.0
12785.512639389854 1.0
12788.61516611623 1.0
12791.717692842603 1.0
12794.820219568977 1.0
12797.922746295353 1.0
12801.025273021727 1.0
12804.127799748103 1.0
12807.230326474477 1.0
12810.33285320085 1.0
12813.435379927227 1.0
12816.5379066536 1.0
12819.640433379975 1.0
12822.74296010635 1.0
12825.845486832724 1.0
12828.948013559098 1.0
12832.050540285474 1.0
12835.153067011848 1.0
12838.255593738222 1.0
12841.358120464598 1.0
12844.460647190972 1.0
12847.563173917348 1.0
12850.665700643722 1.0
12853.768227370096 1.0
12856.870754096472 1.0
12859.973280822845 1.0
12863.07580754922 1.0
12866.178334275595 1.0
12869.28086100197 1.0
12872.383387728343 1.0
12875.485914454719 1.0
12878.588441181093 0.0
12881.690967907467 0.0
