lambda transmission
13149.437538924381 0.0
13152.685917763049 0.0
13155.934296601716 1.0
13159.182675440383 1.0
13162.43105427905 1.0
13165.679433117717 1.0
13168.927811956384 1.0
13172.176190795051 1.0
13175.424569633718 1.0
13178.672948472386 1.0
13181.921327311053 1.0
13185.16970614972 1.0
13188.418084988387 1.0
13191.666463827054 1.0
13194.914842665721 1.0
13198.163221504388 1.0
13201.411600343055 1.0
13204.659979181723 1.0
13207.90835802039 1.0
13211.156736859057 1.0
13214.405115697724 1.0
13217.653494536391 1.0
13220.901873375058 1.0
13224.150252213725 1.0
13227.398631052392 1.0
13230.64700989106 1.0
13233.895388729727 1.0
13237.143767568394 1.0
13240.39214640706 1.0
13243.640525245728 1.0
13246.888904084395 1.0
13250.13728292306 1.0
13253.385661761728 1.0
13256.634040600395 1.0
13259.882419439062 1.0
13263.130798277729 1.0
13266.379177116396 1.0
13269.627555955063 1.0
13272.87593479373 1.0
13276.124313632397 1.0
13279.372692471065 1.0
13282.621071309732 1.0
13285.869450148399 1.0
13289.117828987066 1.0
13292.366207825733 1.0
13295.6145866644 1.0
13298.862965503067 1.0
13302.111344341734 1.0
13305.359723180401 1.0
13308.608102019069 1.0
13311.856480857736 1.0
13315.104859696403 1.0
13318.35323853507 1.0
13321.601617373737 1.0
13324.849996212404 1.0
13328.098375051071 1.0
13331.346753889738 1.0
13334.595132728406 1.0
13337.843511567073 1.0
13341.09189040574 1.0
13344.340269244407 1.0
13347.588648083074 1.0
13350.837026921741 1.0
13354.085405760408 1.0
13357.333784599075 1.0
13360.582163437743 1.0
13363.83054227641 1.0
13367.078921115077 1.0
13370.327299953744 1.0
13373.575678792411 1.0
13376.824057631078 1.0
13380.072436469745 1.0
13383.320815308412 1.0
13386.56919414708 1.0
13389.817572985747 1.0
13393.065951824414 1.0
13396.31433066308 1.0
13399.562709501748 1.0
13402.811088340415 1.0
13406.059467179082 1.0
13409.30784601775 1.0
13412.556224856417 1.0
13415.804603695084 1.0
13419.05298253375 1.0
13422.301361372418 1.0
13425.549740211085 1.0
13428.798119049752 1.0
13432.04649788842 1.0
13435.294876727086 1.0
13438.543255565752 1.0
13441.791634404419 1.0
13445.040013243086 1.0
13448.288392081753 1.0
13451.53677092042 1.0
13454.785149759087 1.0
13458.033528597754 1.0
13461.281907436422 1.0
13464.530286275089 1.0
13467.778665113756 1.0
13471.027043952423 1.0
13474.27542279109 1.0
13477.523801629757 1.0
13480.772180468424 1.0
13484.020559307091 0.0
13487.268938145759 0.0
