lambda transmission
31183.944408990614 0.0
31192.988476394614 0.0
31202.032543798614 1.0
31211.076611202614 1.0
31220.120678606614 1.0
31229.164746010614 1.0
31238.20881341461 1.0
31247.25288081861 1.0
31256.29694822261 1.0
31265.34101562661 1.0
31274.38508303061 1.0
31283.42915043461 1.0
31292.47321783861 1.0
31301.51728524261 1.0
31310.561352646608 1.0
31319.605420050608 1.0
31328.649487454608 1.0
31337.693554858608 1.0
31346.737622262608 1.0
31355.781689666608 1.0
31364.82575707061 1.0
31373.869824474605 1.0
31382.913891878605 1.0
31391.957959282605 1.0
31401.002026686605 1.0
31410.046094090605 1.0
31419.090161494605 1.0
31428.134228898605 1.0
31437.1782963026 1.0
31446.2223637066 1.0
31455.266431110602 1.0
31464.310498514602 1.0
31473.354565918602 1.0
31482.398633322602 1.0
31491.442700726602 1.0
31500.486768130602 1.0
31509.5308355346 1.0
31518.5749029386 1.0
31527.6189703426 1.0
31536.6630377466 1.0
31545.7071051506 1.0
31554.7511725546 1.0
31563.7952399586 1.0
31572.839307362596 1.0
31581.883374766596 1.0
31590.927442170596 1.0
31599.971509574596 1.0
31609.015576978596 1.0
31618.059644382596 1.0
31627.103711786596 1.0
31636.147779190593 1.0
31645.191846594593 1.0
31654.235913998593 1.0
31663.279981402593 1.0
31672.324048806593 1.0
31681.368116210593 1.0
31690.412183614593 1.0
31699.456251018593 1.0
31708.50031842259 1.0
31717.54438582659 1.0
31726.58845323059 1.0
31735.63252063459 1.0
31744.67658803859 1.0
31753.72065544259 1.0
31762.76472284659 1.0
31771.808790250587 1.0
31780.852857654587 1.0
31789.896925058587 1.0
31798.940992462587 1.0
31807.985059866587 1.0
31817.029127270587 1.0
31826.073194674587 1.0
31835.117262078587 1.0
31844.161329482584 1.0
31853.205396886584 1.0
31862.249464290584 1.0
31871.293531694584 1.0
31880.337599098584 1.0
31889.381666502584 1.0
31898.425733906584 1.0
31907.46980131058 1.0
31916.51386871458 1.0
31925.55793611858 1.0
31934.60200352258 1.0
31943.64607092658 1.0
31952.69013833058 1.0
31961.73420573458 1.0
31970.77827313858 1.0
31979.822340542578 1.0
31988.866407946578 1.0
31997.910475350578 1.0
32006.954542754578 1.0
32015.99861015858 1.0
32025.04267756258 1.0
32034.08674496658 1.0
32043.130812370575 1.0
32052.174879774575 1.0
32061.218947178575 1.0
32070.263014582575 1.0
32079.307081986575 1.0
32088.351149390575 1.0
32097.395216794575 1.0
32106.439284198572 1.0
32115.483351602572 0.0
32124.527419006572 0.0
