lambda transmission
44343.65375560273 0.0
44347.07850488877 0.0
44350.50325417481 1.0
44353.928003460846 1.0
44357.35275274688 1.0
44360.77750203292 1.0
44364.20225131895 1.0
44367.62700060499 1.0
44371.05174989103 1.0
44374.476499177064 1.0
44377.9012484631 1.0
44381.32599774914 1.0
44384.75074703518 1.0
44388.17549632121 1.0
44391.600245607246 1.0
44395.02499489328 1.0
44398.44974417932 1.0
44401.87449346536 1.0
44405.2992427514 1.0
44408.723992037434 1.0
44412.148741323464 1.0
44415.5734906095 1.0
44418.99823989554 1.0
44422.42298918158 1.0
44425.847738467615 1.0
44429.27248775365 1.0
44432.69723703969 1.0
44436.12198632572 1.0
44439.54673561176 1.0
44442.9714848978 1.0
44446.396234183834 1.0
44449.82098346987 1.0
44453.24573275591 1.0
44456.67048204195 1.0
44460.09523132798 1.0
44463.519980614015 1.0
44466.94472990005 1.0
44470.36947918609 1.0
44473.79422847213 1.0
44477.218977758166 1.0
44480.643727044204 1.0
44484.068476330234 1.0
44487.49322561627 1.0
44490.91797490231 1.0
44494.34272418835 1.0
44497.767473474385 1.0
44501.19222276042 1.0
44504.61697204646 1.0
44508.04172133249 1.0
44511.46647061853 1.0
44514.891219904566 1.0
44518.315969190604 1.0
44521.74071847664 1.0
44525.16546776268 1.0
44528.59021704872 1.0
44532.014966334755 1.0
44535.439715620785 1.0
44538.86446490682 1.0
44542.28921419286 1.0
44545.7139634789 1.0
44549.138712764936 1.0
44552.56346205097 1.0
44555.98821133701 1.0
44559.41296062304 1.0
44562.83770990908 1.0
44566.26245919512 1.0
44569.687208481155 1.0
44573.11195776719 1.0
44576.53670705323 1.0
44579.96145633927 1.0
44583.3862056253 1.0
44586.810954911336 1.0
44590.235704197374 1.0
44593.66045348341 1.0
44597.08520276945 1.0
44600.50995205549 1.0
44603.934701341524 1.0
44607.359450627555 1.0
44610.78419991359 1.0
44614.20894919963 1.0
44617.63369848567 1.0
44621.058447771706 1.0
44624.48319705774 1.0
44627.90794634378 1.0
44631.33269562981 1.0
44634.75744491585 1.0
44638.18219420189 1.0
44641.606943487925 1.0
44645.03169277396 1.0
44648.45644206 1.0
44651.88119134604 1.0
44655.30594063207 1.0
44658.730689918106 1.0
44662.15543920414 1.0
44665.58018849018 1.0
44669.00493777622 1.0
44672.42968706226 1.0
44675.854436348294 1.0
44679.279185634325 1.0
44682.70393492036 1.0
44686.1286842064 1.0
44689.55343349244 1.0
44692.978182778475 1.0
44696.40293206451 0.0
44699.82768135055 0.0
